Facility Name,Site Address,Last Inspection Date,Facility Type,url_entity_partial,category,Community,Program Area,Closed Date,Reason,Reopen Date,Type,Offense,Outcome,Offense Date,Resolved Date,url_entity_full
Greenwood Public School - Elementary School,8 Fourth Line W  Sault Ste. Marie ON P6A 0B5,17-Nov-2023,Elementary School,location.href = '/Portal/Facility/Details/7d420bca-31bd-4db8-8d4f-90c9ab14797f' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/7d420bca-31bd-4db8-8d4f-90c9ab14797f
Grocer 4 Good - Convenience / Variety,147 Gore St  Sault Ste Marie ON P6A 1M3,06-Jun-2023,Convenience / Variety,location.href = '/Portal/Facility/Details/4dc34a37-c193-4dab-bbef-496dbd4a97e5' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/4dc34a37-c193-4dab-bbef-496dbd4a97e5
Gus's Pizza - Food Take Out,146 Queen St E  Sault Ste. Marie ON P6A 1Y5,13-Dec-2023,Food Take Out,location.href = '/Portal/Facility/Details/9d28b0d7-5e59-4187-9d0e-4b538764b2bd' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/9d28b0d7-5e59-4187-9d0e-4b538764b2bd
Halfway Haven Lodge - Rural Access - Serving Kitchen,28 5km-Loop  Lake Rd Emiry ON,,Serving Kitchen,location.href = '/Portal/Facility/Details/3004fa4d-5ce8-4f5e-9616-e29f13b5625e' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/3004fa4d-5ce8-4f5e-9616-e29f13b5625e
Hampton Inn - Serving Kitchen,289 Highway 108 N  Elliot Lake ON P5A 2S9,27-Feb-2024,Serving Kitchen,location.href = '/Portal/Facility/Details/e2de2a46-340c-414f-bab9-c20d707c1e8c' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/e2de2a46-340c-414f-bab9-c20d707c1e8c
Hand in Hand Daycare - Child Care Centre Kitchen,424 Second Line E  Sault Ste. Marie ON P6B 4K1,16-Oct-2023,Child Care Centre Kitchen,location.href = '/Portal/Facility/Details/3ca2ac7b-08d1-453e-bebc-1f404869e941' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/3ca2ac7b-08d1-453e-bebc-1f404869e941
Hard Wok Cafe - Restaurant,303 Cathcart Street  Sault Ste. Marie ON P6A 1E8,20-Oct-2023,Restaurant,location.href = '/Portal/Facility/Details/e3a1c9a2-dc2e-4a2e-9359-96fc210ec276' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/e3a1c9a2-dc2e-4a2e-9359-96fc210ec276
Harvest Algoma - Food Bank,446 Second Line E  Sault Ste. Marie ON P6B 4K1,02-May-2024,Food Bank,location.href = '/Portal/Facility/Details/adc3d436-47ea-48fa-a736-77cbe6eed6c1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/adc3d436-47ea-48fa-a736-77cbe6eed6c1
Harvey's Restaurant - Restaurant,21 Trunk Rd  Sault Ste. Marie ON P6A 3S2,21-Aug-2023,Restaurant,location.href = '/Portal/Facility/Details/edfb07f5-df40-4324-9fc6-080c95f4f253' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/edfb07f5-df40-4324-9fc6-080c95f4f253
Havilland Shores Kitchen and Bar - Restaurant,5235 Hwy 17N  Haviland Shores ON,22-Feb-2024,Restaurant,location.href = '/Portal/Facility/Details/525cfe7d-ad58-48a4-8e99-c1535c172fc1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/525cfe7d-ad58-48a4-8e99-c1535c172fc1
Hawk Junction Community Hall - Community Kitchen,96 Cedar Ave  Hawk Junction ON P0S 1G0,25-Nov-2023,Community Kitchen,location.href = '/Portal/Facility/Details/1d522080-737b-4d24-a91e-e547b500428b' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/1d522080-737b-4d24-a91e-e547b500428b
Hearterra - Food Take Out,73 Brock Street  Sault Ste. Marie ON P6A 3B4,14-Oct-2023,Food Take Out,location.href = '/Portal/Facility/Details/370b38c2-4a44-4c9b-851a-8d1810306ab1' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/370b38c2-4a44-4c9b-851a-8d1810306ab1
Heritage Home Hardware Building Centre - Convenience / Variety,3478 Hwy 17B  Echo Bay ON P0S 1C0,21-Dec-2023,Convenience / Variety,location.href = '/Portal/Facility/Details/f712723a-614d-419f-b5a0-e53540404131' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/f712723a-614d-419f-b5a0-e53540404131
Heyden Restaurant - Restaurant,770 Highway  17N ON P6A5K7,25-Jan-2024,Restaurant,location.href = '/Portal/Facility/Details/dfc84350-d162-4ece-a78d-fd970b78b193' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/dfc84350-d162-4ece-a78d-fd970b78b193
Heyden Scoops - Food Take Out,"770 17, Trans-Hwy  Goulais River ON P0S 1E0",05-Sep-2023,Food Take Out,location.href = '/Portal/Facility/Details/2f491ea0-1a72-4478-868c-d783c7608c79' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/2f491ea0-1a72-4478-868c-d783c7608c79
Hiawatha Highlands - Restaurant,780 Landslide Road  Sault Ste Marie ON P6A 6J8,21-Feb-2024,Restaurant,location.href = '/Portal/Facility/Details/74442a80-0de6-47c9-8ada-a3490f305a69' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/74442a80-0de6-47c9-8ada-a3490f305a69
Hiawatha Ice Cream - Restaurant,780 Landslide Road  Sault Ste. Marie ON P6B 6J8,08-Jun-2023,Restaurant,location.href = '/Portal/Facility/Details/3b40d14d-e4c9-4db6-91de-e66f95d6cd27' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/3b40d14d-e4c9-4db6-91de-e66f95d6cd27
Hidden River Lodge - Restaurant,Highway 101 Whitefish  Wawa ON P0S 1K0,23-Jun-2023,Restaurant,location.href = '/Portal/Facility/Details/69880b9d-ebda-4101-b78b-497757ef7dd0' ,food,,,,,,,,,,,http://disclosure.algomapublichealth.com/Portal/Facility/Details/69880b9d-ebda-4101-b78b-497757ef7dd0
