Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
14th Coffee Co.,14451 14th Concession Rd Essex ON N8M 2X6,Packaging Plant,12-Jan-2023,location.href = '/disclosure/Facility/Details/1f225db1-687f-4c30-bd99-2e951a0052a3' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/1f225db1-687f-4c30-bd99-2e951a0052a3
206 Roasters,9 Johnson Ave Leamington ON N8H 3T5,Food Depot,09-Nov-2023,location.href = '/disclosure/Facility/Details/0d7c6dd4-9c64-4a67-9c4c-711cc9cb0e32' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/0d7c6dd4-9c64-4a67-9c4c-711cc9cb0e32
2-4-1 Pizza,61 Talbot St E Leamington ON N8H 1L1,Restaurant (Fast Food),23-Feb-2024,location.href = '/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
29 Park,29 Park St W Windsor ON N9A 5T4,Cocktail Bar/Beverage Room,17-Nov-2023,location.href = '/disclosure/Facility/Details/5267b6b0-8ed4-48e8-8ad9-022d9754bd7d' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/5267b6b0-8ed4-48e8-8ad9-022d9754bd7d
3 Dog Poutinerie,575 Heritage Rd Kingsville ON N9Y 3B1,Mobile Food Premises,08-Sep-2023,location.href = '/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
313 Convenience,920 University Ave W Windsor ON N9A 5S2,Convenience/Variety Store,08-Jan-2024,location.href = '/disclosure/Facility/Details/da8e0e17-b964-4791-8031-6081970882c3' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/da8e0e17-b964-4791-8031-6081970882c3
3D Buffet Show Pieces,7258 Essex County Road 50 Amherstburg ON N0R 1G0,Caterer,08-Dec-2023,location.href = '/disclosure/Facility/Details/51e685f0-10d9-4f4e-a94f-4755c3fbce17' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/51e685f0-10d9-4f4e-a94f-4755c3fbce17
4 M's Foods Inc.,1-2651 Howard Ave Windsor ON N8X 4Z3,Food Take Out,05-Dec-2023,location.href = '/disclosure/Facility/Details/e8bfd6c2-520f-43df-a402-390c1e284d95' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/e8bfd6c2-520f-43df-a402-390c1e284d95
4 Seasons Meats,3835 Howard Ave Windsor ON N9E 3N8,Butcher Shop,28-Feb-2024,location.href = '/disclosure/Facility/Details/fb174bd6-f722-40f3-b424-35c1c1393434' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/fb174bd6-f722-40f3-b424-35c1c1393434
4 Seasons Mediterranean Market,3835 Howard Ave Windsor ON N9E 3N8,Grocery Store/Supermarket,26-Feb-2024,location.href = '/disclosure/Facility/Details/157b9328-62b4-4860-b802-3de456d73feb' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/157b9328-62b4-4860-b802-3de456d73feb
4 The Love of PB,1728 Lincoln Road Windsor ON N8W 2P7,Food Take Out,23-Nov-2022,location.href = '/disclosure/Facility/Details/b9d71e45-8446-4001-8b07-be79cfc30b8f' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/b9d71e45-8446-4001-8b07-be79cfc30b8f
4coff Roasting Company,5975 Cameos CrescentWindsor ON N9J 3N3,Food Depot,,location.href = '/disclosure/Facility/Details/1c864ab4-6233-4ce8-93d4-65ced6acb2e8' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/1c864ab4-6233-4ce8-93d4-65ced6acb2e8
4D Sausage Kitchen,429 South Talbot Rd Essex ON N8M 2X5,Convenience/Variety Store,06-Mar-2023,location.href = '/disclosure/Facility/Details/735788bb-f0b0-4713-8530-f8b68d74895e' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/735788bb-f0b0-4713-8530-f8b68d74895e
4K's Riverside Grill,8442 Wyandotte St E Windsor ON N8S 1T6,Restaurant (Full Service),02-Jan-2024,location.href = '/disclosure/Facility/Details/7ae17fd8-e616-4ba8-882d-4428ee25e775' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/7ae17fd8-e616-4ba8-882d-4428ee25e775
519 Convenience,409 Ouellette Ave Windsor ON N9A 4J2,Convenience/Variety Store,18-Apr-2024,location.href = '/disclosure/Facility/Details/bebf9d02-f8ec-4ee0-a2cb-a7a97c1f84e2' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/bebf9d02-f8ec-4ee0-a2cb-a7a97c1f84e2
7 Convenience,59 Main St E Kingsville ON N9Y 1A1,Convenience/Variety Store,13-Feb-2024,location.href = '/disclosure/Facility/Details/901c0891-0210-49f3-b1dd-b89d7dde06e1' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/901c0891-0210-49f3-b1dd-b89d7dde06e1
7 Spices,2-1580 Wyandotte St E Windsor ON N9A 3L2,Restaurant (Full Service),15-Mar-2024,location.href = '/disclosure/Facility/Details/f460de1b-7ab7-4b81-ba35-ea4f8615cd9e' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/f460de1b-7ab7-4b81-ba35-ea4f8615cd9e
77 Bakery,120 Erie St S Leamington ON N8H 3B6,Bakery,14-Nov-2023,location.href = '/disclosure/Facility/Details/92fa49b5-da45-4b26-9a27-628797a1ae07' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/92fa49b5-da45-4b26-9a27-628797a1ae07
7-Eleven,138 Erie St S Leamington ON N8H 3B7,Convenience/Variety Store,22-Sep-2023,location.href = '/disclosure/Facility/Details/1da5900a-3d77-4fdf-9d68-4b99df6c6599' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/1da5900a-3d77-4fdf-9d68-4b99df6c6599
7-Eleven,278 Tecumseh Rd E Windsor ON N8X 2K4,Convenience/Variety Store,10-Apr-2024,location.href = '/disclosure/Facility/Details/90104d32-b822-44a7-9aba-4f2dff5cdf72' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/90104d32-b822-44a7-9aba-4f2dff5cdf72
7-Eleven,925 Ottawa St Windsor ON N8X 2E2,Convenience/Variety Store,31-Jul-2023,location.href = '/disclosure/Facility/Details/24d3f54d-ab3c-45e9-b6b5-3d1effb91871' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/24d3f54d-ab3c-45e9-b6b5-3d1effb91871
7-Eleven,971 Wyandotte St E Windsor ON N9A 3K1,Convenience/Variety Store,30-Nov-2023,location.href = '/disclosure/Facility/Details/69a64ccc-296e-4166-8a1e-704cbd0b80a0' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/69a64ccc-296e-4166-8a1e-704cbd0b80a0
7-Eleven,3-5124 Tecumseh Rd E Windsor ON N8T 1C1,Convenience/Variety Store,28-Mar-2024,location.href = '/disclosure/Facility/Details/0385e101-44d8-4dfe-89b4-7971e11a1ea3' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/0385e101-44d8-4dfe-89b4-7971e11a1ea3
800 Degrees Catering,1798 Kamloops St Windsor ON N8W 5T8,Food Storage,,location.href = '/disclosure/Facility/Details/108a4597-510d-4810-af98-0473bea6bc2a' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/108a4597-510d-4810-af98-0473bea6bc2a
A & A Corner Grill,1500 Pillette Rd Windsor ON N8Y 3L2,Restaurant (Full Service),08-Mar-2024,location.href = '/disclosure/Facility/Details/32443021-3e45-4f7f-81e0-53964b7c6f6a' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/32443021-3e45-4f7f-81e0-53964b7c6f6a
A & A Tecumseh Convenience,1-1100 Lesperance Rd Tecumseh ON N9N 1X2,Convenience/Variety Store,11-Aug-2023,location.href = '/disclosure/Facility/Details/f71b5966-4ed5-457a-904d-1780308bb941' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/f71b5966-4ed5-457a-904d-1780308bb941
A & J Snack Shack,120 West River Rd Belle River ON N0R 1A0,Mobile Food Premises,26-May-2023,location.href = '/disclosure/Facility/Details/0d7af36c-55c8-44cc-b363-a895f85bfadb' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/0d7af36c-55c8-44cc-b363-a895f85bfadb
A 2 Z Cash & Carry,5188 Walker Rd. Oldcastle ON N9A 6J3,Food Depot,07-Nov-2023,location.href = '/disclosure/Facility/Details/fb6a5cff-7288-4d00-83fb-433a23a8aa5f' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/fb6a5cff-7288-4d00-83fb-433a23a8aa5f
A 2 Z Convenience,4690 Tecumseh Rd E Windsor ON N8W 1K7,Convenience/Variety Store,08-Apr-2024,location.href = '/disclosure/Facility/Details/ac8c0ad6-9166-4929-8745-19660b23271a' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/ac8c0ad6-9166-4929-8745-19660b23271a
A Dog's Breakfast,504 Pelissier St Windsor ON N9A 5V9,Restaurant (Full Service),12-Oct-2023,location.href = '/disclosure/Facility/Details/2ead737c-2174-4b11-96be-71f14a50aff5' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/2ead737c-2174-4b11-96be-71f14a50aff5
A Hidden Gem Bed and Breakfast,406 Moy Ave Windsor ON N9A 2N4,Bed & Breakfast,31-Oct-2023,location.href = '/disclosure/Facility/Details/26c8c544-17d3-4113-ae7c-9a46baa5f647' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/26c8c544-17d3-4113-ae7c-9a46baa5f647
A Hole Lotta Donuts,969 Pavan St Windsor ON N9G 2X5,Bakery,27-Jun-2023,location.href = '/disclosure/Facility/Details/591e3241-0e75-4d4d-acdc-21d95aaad987' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/591e3241-0e75-4d4d-acdc-21d95aaad987
A Little Cookie Studio,3913 Northway Ave Windsor ON N9G 2P9,Bake Shop,21-Mar-2024,location.href = '/disclosure/Facility/Details/4c0f9f17-65da-4f39-8f33-27ee959b754c' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/4c0f9f17-65da-4f39-8f33-27ee959b754c
A Place to Grow,1213 EC Row Ave E Windsor ON N8W 1Y6,Child Care - Food Prep,08-Feb-2024,location.href = '/disclosure/Facility/Details/c73e360c-eb73-461d-afed-492be6281774' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c73e360c-eb73-461d-afed-492be6281774
A Place to Grow,775 Capitol St Windsor ON N8X 5E3,Child Care - Food Prep,17-Jan-2024,location.href = '/disclosure/Facility/Details/de26df32-4627-44a5-8cd7-c40f7fd78834' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/de26df32-4627-44a5-8cd7-c40f7fd78834
A Place to Grow,816 Ellis St E Windsor ON N8X 2H7,Child Care - Food Prep,29-Apr-2024,location.href = '/disclosure/Facility/Details/28cf1202-f69d-4499-9785-f284530e0ff9' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/28cf1202-f69d-4499-9785-f284530e0ff9
A Slice of Pi,176-5841 Malden Rd LaSalle ON N8X 4B1,Food Take Out,06-Nov-2023,location.href = '/disclosure/Facility/Details/26821c61-79b5-4207-9e47-c9410a26f64d' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/26821c61-79b5-4207-9e47-c9410a26f64d
A&W,3090 Dougall Ave Windsor ON N9E 1S4,Restaurant (Fast Food),29-Apr-2024,location.href = '/disclosure/Facility/Details/15074871-37da-490b-a931-c45eb18c791c' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/15074871-37da-490b-a931-c45eb18c791c
A&W,250 Erie St S Leamington ON N8H 3C2,Restaurant (Fast Food),13-Dec-2023,location.href = '/disclosure/Facility/Details/fc8ca370-11fa-45c9-8aed-b785b18303b9' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/fc8ca370-11fa-45c9-8aed-b785b18303b9
A&W,300 Maidstone Ave W Essex ON N8M 2X6,Restaurant (Fast Food),15-Jan-2024,location.href = '/disclosure/Facility/Details/5e000c9d-f04c-48fc-9960-7695c5116c30' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/5e000c9d-f04c-48fc-9960-7695c5116c30
A&W,FCU12-3100 Howard Ave Windsor ON N8X 3Y8,Restaurant (Fast Food),09-Jan-2024,location.href = '/disclosure/Facility/Details/0e05c79b-2c7f-4659-99f1-4229e164a434' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/0e05c79b-2c7f-4659-99f1-4229e164a434
A&W,4140 Walker Rd Windsor ON N8W 3T5,Restaurant (Fast Food),03-Apr-2024,location.href = '/disclosure/Facility/Details/a3ba97a0-c146-48df-84ca-6263177ec88f' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/a3ba97a0-c146-48df-84ca-6263177ec88f
A&W,1726 Huron Church Rd Windsor ON N9C 2L4,Restaurant (Fast Food),02-May-2024,location.href = '/disclosure/Facility/Details/9331f62c-9d48-4515-b997-2c04afd1ba3a' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/9331f62c-9d48-4515-b997-2c04afd1ba3a
A&W,6570 Tecumseh Rd E Windsor ON N8T 1E6,Restaurant (Fast Food),08-Jan-2024,location.href = '/disclosure/Facility/Details/f6540f19-62b6-4b53-9a29-1bddbfdaea13' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/f6540f19-62b6-4b53-9a29-1bddbfdaea13
A&W,7008 Industrial Dr Comber ON N0P 1J0,Restaurant (Fast Food),03-May-2024,location.href = '/disclosure/Facility/Details/b1de0ea7-de22-41cf-9961-0eed31fc5947' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/b1de0ea7-de22-41cf-9961-0eed31fc5947
A&W,1695 Manning Rd Tecumseh ON N8N 2L9,Restaurant (Fast Food),06-Mar-2024,location.href = '/disclosure/Facility/Details/988851dd-a406-4a94-b7a7-d10682777214' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/988851dd-a406-4a94-b7a7-d10682777214
A-1 Chinese Food,60 Talbot St N Essex ON N8M 1A9,Restaurant (Full Service),05-Jul-2023,location.href = '/disclosure/Facility/Details/c6aee336-f4b2-4ccd-8cc0-aa1138b592dc' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c6aee336-f4b2-4ccd-8cc0-aa1138b592dc
AA Convenience,660 Wyandotte St W Windsor ON N9A 6S8,Convenience/Variety Store,18-Jan-2024,location.href = '/disclosure/Facility/Details/1bdc6fc2-aefc-4b7e-aac2-bbefbbcf5b22' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/1bdc6fc2-aefc-4b7e-aac2-bbefbbcf5b22
ABC Day Nursery,1225 Lauzon Rd Windsor ON N8S 3N1,Child Care - Food Prep,23-Feb-2024,location.href = '/disclosure/Facility/Details/4bd4c5de-5eda-43fa-a0a6-aff7c719a096' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/4bd4c5de-5eda-43fa-a0a6-aff7c719a096
ABC Day Nursery,2605 Jefferson Blvd Windsor ON N8T 3E7,Child Care - Food Prep,15-Mar-2024,location.href = '/disclosure/Facility/Details/6d3960e7-e5ed-494f-a48e-740568ea7f5c' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/6d3960e7-e5ed-494f-a48e-740568ea7f5c
ABC Day Nursery,500-3335 Banwell Rd Windsor ON N8N 0B4,Child Care - Food Prep,12-Feb-2024,location.href = '/disclosure/Facility/Details/02de76c1-8474-4705-bb80-14ec4ac67624' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/02de76c1-8474-4705-bb80-14ec4ac67624
ABC Day Nursery,888 Hanna St E Windsor ON N8X 2N9,Child Care - Food Prep,29-Apr-2024,location.href = '/disclosure/Facility/Details/851d9301-28e0-40a0-843b-1ca3022c2da7' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/851d9301-28e0-40a0-843b-1ca3022c2da7
ABC Day Nursery,4540 Somme Ave Windsor ON N8W 1V5,Child Care - Food Prep,23-Apr-2024,location.href = '/disclosure/Facility/Details/2792e576-2a62-499a-a540-31ebd9d475cb' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/2792e576-2a62-499a-a540-31ebd9d475cb
ABC Day Nursery,2495 Arthur Rd Windsor ON N8W 4V8,Child Care - Catered,23-Apr-2024,location.href = '/disclosure/Facility/Details/b935ce4c-9706-4e3f-97ef-f53491fc46e0' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/b935ce4c-9706-4e3f-97ef-f53491fc46e0
ABE Meat Shop,704 Wyandotte St E Windsor ON N9A 3J5,Butcher Shop,15-Dec-2023,location.href = '/disclosure/Facility/Details/d97fcca1-ee2d-4725-96e0-cfea07f3af94' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/d97fcca1-ee2d-4725-96e0-cfea07f3af94
Absolute Canadian Beverage Inc.,441 Talbot Rd E Leamington ON N8H 3V6,Bottling Plant,15-Feb-2023,location.href = '/disclosure/Facility/Details/2e9da296-0d44-4415-a056-24bb665e9152' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/2e9da296-0d44-4415-a056-24bb665e9152
Academie Ste. Cecile International School - Elementary School,925 Cousineau Rd Windsor ON N9G 1V8,Cafeteria,23-Oct-2023,location.href = '/disclosure/Facility/Details/fc35dc7c-99f1-4645-bfa8-7ca61d2cd81c' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/fc35dc7c-99f1-4645-bfa8-7ca61d2cd81c
Academie Ste. Cecile International School - Secondary School,925 Cousineau Rd Windsor ON N9G 1V8,Cafeteria,23-Oct-2023,location.href = '/disclosure/Facility/Details/8d0cd845-e1fb-4cf0-b94c-e60cf0bbf577' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/8d0cd845-e1fb-4cf0-b94c-e60cf0bbf577
Acai Shack,54 Richmond St Amherstburg ON N9V 1E9,Restaurant (Fast Food),26-Mar-2024,location.href = '/disclosure/Facility/Details/fdca9838-466b-496e-88bf-92e7b842313f' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/fdca9838-466b-496e-88bf-92e7b842313f
Acapulco Delight,485 Pelissier St Windsor ON N9A 4L2,Restaurant (Full Service),26-Oct-2023,location.href = '/disclosure/Facility/Details/c7cedafe-0194-48b0-83d3-814fd19891d8' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c7cedafe-0194-48b0-83d3-814fd19891d8
Acorn and Oak Coffee Company,23 Victoria Ave Essex ON N8M 1M3,Bake Shop,26-Jan-2024,location.href = '/disclosure/Facility/Details/2be83ba6-4cca-440b-b0b2-d17b7dd94adb' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/2be83ba6-4cca-440b-b0b2-d17b7dd94adb
Adie Knox After School Program,1551 Wyandotte St W Windsor ON N9B 1H6,Child Care - Food Prep,23-Nov-2023,location.href = '/disclosure/Facility/Details/c31196d8-18a3-4d70-ae14-6124b4c09b59' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c31196d8-18a3-4d70-ae14-6124b4c09b59
Adie Knox Herman Arena - M&M Concessions,1551 Wyandotte St W Windsor ON N9B 1H6,Refreshment Stand,17-Oct-2023,location.href = '/disclosure/Facility/Details/9d9a2f01-73de-40dd-adcb-f19c2d72e614' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/9d9a2f01-73de-40dd-adcb-f19c2d72e614
Adriatic Bakery,912 Tecumseh Rd E Windsor ON N8X 2S6,Bakery,18-Aug-2023,location.href = '/disclosure/Facility/Details/f79c6a71-86ce-4745-9cd6-2cf16b9f53cc' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/f79c6a71-86ce-4745-9cd6-2cf16b9f53cc
Advantage Drug Mart,4900 Wyandotte St E Windsor ON N8Y 1H7,Convenience/Variety Store,23-May-2023,location.href = '/disclosure/Facility/Details/676a0c6f-0199-47f9-bfdc-f6fa98c2b9ea' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/676a0c6f-0199-47f9-bfdc-f6fa98c2b9ea
Aerosports Windsor,7654 Tecumseh Rd E Windsor ON N8T 1E9,Restaurant (Fast Food),24-Apr-2024,location.href = '/disclosure/Facility/Details/cb88a61f-ff8d-4f0c-844f-97438e502adc' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/cb88a61f-ff8d-4f0c-844f-97438e502adc
Afrocan Food Market,1022 Wyandotte St W Windsor ON N9A 5Y6,Grocery Store/Supermarket,18-Oct-2023,location.href = '/disclosure/Facility/Details/963bf5a7-4ebb-45c3-a0b4-524979aa5691' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/963bf5a7-4ebb-45c3-a0b4-524979aa5691
Age Care Royal Oak,1750 Division Rd N Kingsville ON N9Y 4G7,Long-Term Care Home,10-Jan-2024,location.href = '/disclosure/Facility/Details/6a8b1542-1b5e-4579-90e6-9c0ec35fc5cb' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/6a8b1542-1b5e-4579-90e6-9c0ec35fc5cb
Ah-So Sushi,2144 Huron Church Rd Windsor ON N9C 2L7,Food Take Out,28-Mar-2024,location.href = '/disclosure/Facility/Details/43d7d556-4e87-42ab-b719-bc69cb957ca4' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/43d7d556-4e87-42ab-b719-bc69cb957ca4
Aji Sushi,1790 Wyandotte St W Windsor ON N9B 1J1,Restaurant (Full Service),09-Feb-2024,location.href = '/disclosure/Facility/Details/674b968e-c5e3-4a44-9d39-4b33df7c0831' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/674b968e-c5e3-4a44-9d39-4b33df7c0831
Ajisen Ramen,3196 Dougall Ave Windsor ON N9E 1S6,Restaurant (Full Service),31-Jan-2024,location.href = '/disclosure/Facility/Details/6f26e284-8ef6-4637-a744-61b20d7fd8b1' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/6f26e284-8ef6-4637-a744-61b20d7fd8b1
Ajisen Ramen,1400-2601 Lauzon Pkwy Windsor ON N8T 3M4,Restaurant (Fast Food),05-Jan-2024,location.href = '/disclosure/Facility/Details/a491b725-8295-4dfc-b257-0fbc7bffca19' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/a491b725-8295-4dfc-b257-0fbc7bffca19
Al Bait Al Iraqi Restaurant,1085 Lauzon Rd Windsor ON N8S 3M8,Food Take Out,08-Feb-2024,location.href = '/disclosure/Facility/Details/ee0c96df-2c73-4f77-980d-af343129258a' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/ee0c96df-2c73-4f77-980d-af343129258a
Al Barakah Meat Market,785 Wyandotte St E Windsor ON N9A 3J5,Butcher Shop,14-Feb-2024,location.href = '/disclosure/Facility/Details/d65cea97-3c4f-4627-825a-c3f5f0fd427a' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/d65cea97-3c4f-4627-825a-c3f5f0fd427a
Al Hijra School & Mosque,5100 Howard Ave Windsor ON N9A 6Z6,Child Care - Food Prep,17-Apr-2024,location.href = '/disclosure/Facility/Details/3af9fae8-81d9-49d8-ac85-1978ef644da0' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/3af9fae8-81d9-49d8-ac85-1978ef644da0
Alassaf BBQ,5622 Wyandotte Street E Windsor ON N8S 1M3,Food Take Out,26-Feb-2024,location.href = '/disclosure/Facility/Details/33426fac-fc45-4cdf-a6c7-8ba5f2ab23ac' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/33426fac-fc45-4cdf-a6c7-8ba5f2ab23ac
Albanian Community Centre,707 Erie St E Windsor ON N9A 3Y3,Cocktail Bar/Beverage Room,27-Apr-2023,location.href = '/disclosure/Facility/Details/0d90cd11-2a55-48bb-8949-6c5cc037c139' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/0d90cd11-2a55-48bb-8949-6c5cc037c139
Alberto's European Bakery,51 Talbot St E Leamington ON N8H 1L1,Bakery,07-Nov-2023,location.href = '/disclosure/Facility/Details/8d97b4bf-b5fb-4633-a159-85c25402a1a0' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/8d97b4bf-b5fb-4633-a159-85c25402a1a0
Alborz Fine Foods,50-201 West Grand Blvd Windsor ON N9E 3W7,Grocery Store/Supermarket,08-Sep-2023,location.href = '/disclosure/Facility/Details/b2e7309f-3df6-4849-9be9-679df499907a' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/b2e7309f-3df6-4849-9be9-679df499907a
Aldimashqi Chicken,527 Wyandotte St E Windsor ON N9A 3J1,Food Take Out,14-Feb-2024,location.href = '/disclosure/Facility/Details/8a373e69-d46e-4f69-9251-f328f45f89ec' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/8a373e69-d46e-4f69-9251-f328f45f89ec
Alegre Taqueria,49 Oak St E Leamington ON N8H 2C3,Food Take Out,06-Dec-2023,location.href = '/disclosure/Facility/Details/bcb30b00-e4bf-44bc-8ebe-c84d83ee9429' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/bcb30b00-e4bf-44bc-8ebe-c84d83ee9429
Alexander's Daycare Centre,197 Auburn Ave Belle River ON N0R 1A0,Child Care - Food Prep,11-Mar-2024,location.href = '/disclosure/Facility/Details/1d127ce6-4398-433e-a5c1-0dca8d3b7219' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/1d127ce6-4398-433e-a5c1-0dca8d3b7219
Alexander's Daycare Centre,3990 Wildwood Dr Windsor ON N8R 1A0,Child Care - Food Prep,12-Feb-2024,location.href = '/disclosure/Facility/Details/62150faf-2e7d-4fc7-9ce8-f6fee3d7b07d' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/62150faf-2e7d-4fc7-9ce8-f6fee3d7b07d
Alfin Convenience,405 Erie St W Windsor ON N9A 6C1,Convenience/Variety Store,18-Jan-2024,location.href = '/disclosure/Facility/Details/57537956-89a9-4eb0-889c-171080d5701b' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/57537956-89a9-4eb0-889c-171080d5701b
