Inspection Type,Inspection Date,url_inspection,url_inspection_full,url_entity_full
Required,12-Jan-2023,location.href = '/disclosure/Inspection/Details/60815e2e-fb34-4384-8961-1151f1cc7259' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/60815e2e-fb34-4384-8961-1151f1cc7259,https://disclosure55.wechu.org/disclosure/Facility/Details/1f225db1-687f-4c30-bd99-2e951a0052a3
Required,09-Nov-2023,location.href = '/disclosure/Inspection/Details/80aceda4-04d5-4c09-a0a7-be38ca6bcbb5' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/80aceda4-04d5-4c09-a0a7-be38ca6bcbb5,https://disclosure55.wechu.org/disclosure/Facility/Details/0d7c6dd4-9c64-4a67-9c4c-711cc9cb0e32
Required,18-Nov-2022,location.href = '/disclosure/Inspection/Details/63d03794-d99a-4674-a34d-61b80d9b9616' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/63d03794-d99a-4674-a34d-61b80d9b9616,https://disclosure55.wechu.org/disclosure/Facility/Details/0d7c6dd4-9c64-4a67-9c4c-711cc9cb0e32
Required,23-Feb-2024,location.href = '/disclosure/Inspection/Details/71c7b860-526c-4453-9e85-c3f7f3bf8949' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/71c7b860-526c-4453-9e85-c3f7f3bf8949,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
Required,01-Feb-2024,location.href = '/disclosure/Inspection/Details/abb914bf-c0d2-43c6-a880-53853ba28f12' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/abb914bf-c0d2-43c6-a880-53853ba28f12,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
Re-Inspection,23-Oct-2023,location.href = '/disclosure/Inspection/Details/c8468bf6-2661-4e62-a419-7ad4e507e476' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/c8468bf6-2661-4e62-a419-7ad4e507e476,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
Required,18-Aug-2023,location.href = '/disclosure/Inspection/Details/4b7da184-d5f7-4caf-8236-47e99e53138e' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/4b7da184-d5f7-4caf-8236-47e99e53138e,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
Re-Inspection,27-Jan-2023,location.href = '/disclosure/Inspection/Details/537fd89a-583d-4496-a476-bd7424b47228' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/537fd89a-583d-4496-a476-bd7424b47228,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
Required,12-Jan-2023,location.href = '/disclosure/Inspection/Details/0ae0a0fc-79b2-4ce9-a8cc-37ce53ad946b' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/0ae0a0fc-79b2-4ce9-a8cc-37ce53ad946b,https://disclosure55.wechu.org/disclosure/Facility/Details/4ec5056d-625b-4150-b2ef-692e4d38ba9e
Required,17-Nov-2023,location.href = '/disclosure/Inspection/Details/8d32aacd-c552-4179-be82-bb6d7a1b36c2' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/8d32aacd-c552-4179-be82-bb6d7a1b36c2,https://disclosure55.wechu.org/disclosure/Facility/Details/5267b6b0-8ed4-48e8-8ad9-022d9754bd7d
Required,08-Sep-2023,location.href = '/disclosure/Inspection/Details/b969f9b2-edcd-4fab-bec2-9ce76c29a629' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/b969f9b2-edcd-4fab-bec2-9ce76c29a629,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Required,21-Aug-2023,location.href = '/disclosure/Inspection/Details/dd666a4a-4c82-49f6-837c-9f5b755109ab' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/dd666a4a-4c82-49f6-837c-9f5b755109ab,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Required,24-Jun-2023,location.href = '/disclosure/Inspection/Details/afc8197a-48d6-463a-8f4f-489b5c91690e' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/afc8197a-48d6-463a-8f4f-489b5c91690e,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Required,10-Jun-2023,location.href = '/disclosure/Inspection/Details/bef4078f-557a-412e-ab25-8c687edbf8b8' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/bef4078f-557a-412e-ab25-8c687edbf8b8,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Re-Inspection,23-May-2023,location.href = '/disclosure/Inspection/Details/66ba2150-408f-41c1-ac66-eb88383bd310' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/66ba2150-408f-41c1-ac66-eb88383bd310,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Required,21-Apr-2023,location.href = '/disclosure/Inspection/Details/40b0af1b-7917-4662-b111-645781e18b6d' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/40b0af1b-7917-4662-b111-645781e18b6d,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Required,08-Jun-2022,location.href = '/disclosure/Inspection/Details/0541591c-96ce-47c8-b98e-0c3e03b199b6' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/0541591c-96ce-47c8-b98e-0c3e03b199b6,https://disclosure55.wechu.org/disclosure/Facility/Details/197810b9-d9f7-42c0-9424-ce727986c6f4
Required,08-Jan-2024,location.href = '/disclosure/Inspection/Details/cdfa71ed-1902-4c0a-81e1-c00dd785fa47' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/cdfa71ed-1902-4c0a-81e1-c00dd785fa47,https://disclosure55.wechu.org/disclosure/Facility/Details/da8e0e17-b964-4791-8031-6081970882c3
Required,05-Jan-2023,location.href = '/disclosure/Inspection/Details/1085a954-676e-44dc-9c9c-49f630806b00' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/1085a954-676e-44dc-9c9c-49f630806b00,https://disclosure55.wechu.org/disclosure/Facility/Details/da8e0e17-b964-4791-8031-6081970882c3
Required,08-Dec-2023,location.href = '/disclosure/Inspection/Details/93aa6aab-fd55-40fc-8078-784b8da5d2df' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/93aa6aab-fd55-40fc-8078-784b8da5d2df,https://disclosure55.wechu.org/disclosure/Facility/Details/51e685f0-10d9-4f4e-a94f-4755c3fbce17
Required,19-May-2023,location.href = '/disclosure/Inspection/Details/634358fd-69e9-4c9c-9ab5-d55d1e3e6f20' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/634358fd-69e9-4c9c-9ab5-d55d1e3e6f20,https://disclosure55.wechu.org/disclosure/Facility/Details/51e685f0-10d9-4f4e-a94f-4755c3fbce17
Required,05-Dec-2023,location.href = '/disclosure/Inspection/Details/54015077-16da-4aaf-b325-45ba77bd0938' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/54015077-16da-4aaf-b325-45ba77bd0938,https://disclosure55.wechu.org/disclosure/Facility/Details/e8bfd6c2-520f-43df-a402-390c1e284d95
Required,28-Feb-2024,location.href = '/disclosure/Inspection/Details/93ca6a82-0fe0-4be3-ba8d-e6a4dc19bde7' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/93ca6a82-0fe0-4be3-ba8d-e6a4dc19bde7,https://disclosure55.wechu.org/disclosure/Facility/Details/fb174bd6-f722-40f3-b424-35c1c1393434
Required,26-Feb-2024,location.href = '/disclosure/Inspection/Details/a1122cc3-d2a4-4102-867f-2ca69e1f8cfb' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/a1122cc3-d2a4-4102-867f-2ca69e1f8cfb,https://disclosure55.wechu.org/disclosure/Facility/Details/157b9328-62b4-4860-b802-3de456d73feb
Required,30-May-2023,location.href = '/disclosure/Inspection/Details/089a5a2d-607c-4ec1-9080-059e273018a3' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/089a5a2d-607c-4ec1-9080-059e273018a3,https://disclosure55.wechu.org/disclosure/Facility/Details/157b9328-62b4-4860-b802-3de456d73feb
Required,11-Aug-2022,location.href = '/disclosure/Inspection/Details/baedb0d0-d278-40cd-a1a8-c2ee321270ab' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/baedb0d0-d278-40cd-a1a8-c2ee321270ab,https://disclosure55.wechu.org/disclosure/Facility/Details/157b9328-62b4-4860-b802-3de456d73feb
Required,23-Nov-2022,location.href = '/disclosure/Inspection/Details/f444b55b-4c96-4d98-bc9d-fc2821ca996e' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/f444b55b-4c96-4d98-bc9d-fc2821ca996e,https://disclosure55.wechu.org/disclosure/Facility/Details/b9d71e45-8446-4001-8b07-be79cfc30b8f
Required,06-Mar-2023,location.href = '/disclosure/Inspection/Details/d69be37d-8ae4-425c-9e32-1dd49069eb35' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/d69be37d-8ae4-425c-9e32-1dd49069eb35,https://disclosure55.wechu.org/disclosure/Facility/Details/735788bb-f0b0-4713-8530-f8b68d74895e
Required,02-Jan-2024,location.href = '/disclosure/Inspection/Details/3fe9ee01-29b9-45d3-a60e-6b7bcb1f94b1' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/3fe9ee01-29b9-45d3-a60e-6b7bcb1f94b1,https://disclosure55.wechu.org/disclosure/Facility/Details/7ae17fd8-e616-4ba8-882d-4428ee25e775
Required,18-Apr-2024,location.href = '/disclosure/Inspection/Details/eaa2d4ca-3940-4807-9df4-63f43561b4df' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/eaa2d4ca-3940-4807-9df4-63f43561b4df,https://disclosure55.wechu.org/disclosure/Facility/Details/bebf9d02-f8ec-4ee0-a2cb-a7a97c1f84e2
Required,13-Feb-2024,location.href = '/disclosure/Inspection/Details/6ae1284d-139f-4dea-9057-9d2123449022' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/6ae1284d-139f-4dea-9057-9d2123449022,https://disclosure55.wechu.org/disclosure/Facility/Details/901c0891-0210-49f3-b1dd-b89d7dde06e1
Required,11-Jan-2023,location.href = '/disclosure/Inspection/Details/451ba59e-220e-4a6a-b6dd-b6c3babd5ead' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/451ba59e-220e-4a6a-b6dd-b6c3babd5ead,https://disclosure55.wechu.org/disclosure/Facility/Details/901c0891-0210-49f3-b1dd-b89d7dde06e1
Required,15-Mar-2024,location.href = '/disclosure/Inspection/Details/3b1c18b1-5a24-484a-9090-1808922dcc1f' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/3b1c18b1-5a24-484a-9090-1808922dcc1f,https://disclosure55.wechu.org/disclosure/Facility/Details/f460de1b-7ab7-4b81-ba35-ea4f8615cd9e
Required,01-Mar-2024,location.href = '/disclosure/Inspection/Details/e41f1caa-24a6-48e5-b237-8e6a11a4960a' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/e41f1caa-24a6-48e5-b237-8e6a11a4960a,https://disclosure55.wechu.org/disclosure/Facility/Details/f460de1b-7ab7-4b81-ba35-ea4f8615cd9e
Required,23-Mar-2023,location.href = '/disclosure/Inspection/Details/e87c0a79-0d6c-4a81-b3ee-5064027cb046' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/e87c0a79-0d6c-4a81-b3ee-5064027cb046,https://disclosure55.wechu.org/disclosure/Facility/Details/f460de1b-7ab7-4b81-ba35-ea4f8615cd9e
Required,25-Aug-2022,location.href = '/disclosure/Inspection/Details/3b53fe19-74d0-4e7f-8803-088ceec165aa' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/3b53fe19-74d0-4e7f-8803-088ceec165aa,https://disclosure55.wechu.org/disclosure/Facility/Details/f460de1b-7ab7-4b81-ba35-ea4f8615cd9e
Required,14-Nov-2023,location.href = '/disclosure/Inspection/Details/9642c229-ed12-4b86-806d-aedcd38799ae' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/9642c229-ed12-4b86-806d-aedcd38799ae,https://disclosure55.wechu.org/disclosure/Facility/Details/92fa49b5-da45-4b26-9a27-628797a1ae07
Required,03-May-2023,location.href = '/disclosure/Inspection/Details/7096840c-1b89-4d6f-aabf-2e4057705e03' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/7096840c-1b89-4d6f-aabf-2e4057705e03,https://disclosure55.wechu.org/disclosure/Facility/Details/92fa49b5-da45-4b26-9a27-628797a1ae07
Required,28-Sep-2022,location.href = '/disclosure/Inspection/Details/4de868cf-acba-4530-8d88-1956988d06f0' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/4de868cf-acba-4530-8d88-1956988d06f0,https://disclosure55.wechu.org/disclosure/Facility/Details/92fa49b5-da45-4b26-9a27-628797a1ae07
Required,22-Sep-2023,location.href = '/disclosure/Inspection/Details/dfd19dc6-0422-42a9-89c4-29b4a084b7bb' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/dfd19dc6-0422-42a9-89c4-29b4a084b7bb,https://disclosure55.wechu.org/disclosure/Facility/Details/1da5900a-3d77-4fdf-9d68-4b99df6c6599
Required,11-Jan-2023,location.href = '/disclosure/Inspection/Details/eba69cca-ec71-4406-8804-f383472458a5' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/eba69cca-ec71-4406-8804-f383472458a5,https://disclosure55.wechu.org/disclosure/Facility/Details/1da5900a-3d77-4fdf-9d68-4b99df6c6599
Re-Inspection,22-Jul-2022,location.href = '/disclosure/Inspection/Details/cce2a9c5-e366-4800-97c6-e9ffcb2e7657' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/cce2a9c5-e366-4800-97c6-e9ffcb2e7657,https://disclosure55.wechu.org/disclosure/Facility/Details/1da5900a-3d77-4fdf-9d68-4b99df6c6599
Required,20-Jul-2022,location.href = '/disclosure/Inspection/Details/392595e9-6cd5-4639-b174-b1aceae482dd' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/392595e9-6cd5-4639-b174-b1aceae482dd,https://disclosure55.wechu.org/disclosure/Facility/Details/1da5900a-3d77-4fdf-9d68-4b99df6c6599
Re-Inspection,10-Apr-2024,location.href = '/disclosure/Inspection/Details/9c638770-cbb9-4474-acf9-ddf27d59fb92' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/9c638770-cbb9-4474-acf9-ddf27d59fb92,https://disclosure55.wechu.org/disclosure/Facility/Details/90104d32-b822-44a7-9aba-4f2dff5cdf72
Re-Inspection,02-Apr-2024,location.href = '/disclosure/Inspection/Details/1bf7e0d6-a076-40bc-bbda-121de0c5157f' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/1bf7e0d6-a076-40bc-bbda-121de0c5157f,https://disclosure55.wechu.org/disclosure/Facility/Details/90104d32-b822-44a7-9aba-4f2dff5cdf72
Required,05-Mar-2024,location.href = '/disclosure/Inspection/Details/d1780e8a-3163-47fd-82d5-04ac380c3a89' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/d1780e8a-3163-47fd-82d5-04ac380c3a89,https://disclosure55.wechu.org/disclosure/Facility/Details/90104d32-b822-44a7-9aba-4f2dff5cdf72
Re-Inspection,22-Sep-2023,location.href = '/disclosure/Inspection/Details/8c463857-6e0e-4671-8455-42a850d64baf' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/8c463857-6e0e-4671-8455-42a850d64baf,https://disclosure55.wechu.org/disclosure/Facility/Details/90104d32-b822-44a7-9aba-4f2dff5cdf72
Required,20-Sep-2023,location.href = '/disclosure/Inspection/Details/750cdfa0-aca9-4faf-9603-73e0d9009fc6' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/750cdfa0-aca9-4faf-9603-73e0d9009fc6,https://disclosure55.wechu.org/disclosure/Facility/Details/90104d32-b822-44a7-9aba-4f2dff5cdf72
Required,09-Jun-2023,location.href = '/disclosure/Inspection/Details/7a9b9df8-8e78-4310-b882-30541d38fc2e' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/7a9b9df8-8e78-4310-b882-30541d38fc2e,https://disclosure55.wechu.org/disclosure/Facility/Details/90104d32-b822-44a7-9aba-4f2dff5cdf72
Required,31-Jul-2023,location.href = '/disclosure/Inspection/Details/ae923d20-238a-4713-98c3-9b7b609ba64d' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/ae923d20-238a-4713-98c3-9b7b609ba64d,https://disclosure55.wechu.org/disclosure/Facility/Details/24d3f54d-ab3c-45e9-b6b5-3d1effb91871
Required,16-Sep-2022,location.href = '/disclosure/Inspection/Details/ea1fb88f-6c0f-4ac6-a2fb-9a3245f3b833' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/ea1fb88f-6c0f-4ac6-a2fb-9a3245f3b833,https://disclosure55.wechu.org/disclosure/Facility/Details/24d3f54d-ab3c-45e9-b6b5-3d1effb91871
Required,30-Nov-2023,location.href = '/disclosure/Inspection/Details/22af82a9-4791-4685-94d9-f67b1b3ad5e1' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/22af82a9-4791-4685-94d9-f67b1b3ad5e1,https://disclosure55.wechu.org/disclosure/Facility/Details/69a64ccc-296e-4166-8a1e-704cbd0b80a0
Required,20-Jun-2023,location.href = '/disclosure/Inspection/Details/34995d05-e547-4568-8e44-d9698856ffd9' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/34995d05-e547-4568-8e44-d9698856ffd9,https://disclosure55.wechu.org/disclosure/Facility/Details/69a64ccc-296e-4166-8a1e-704cbd0b80a0
Required,28-Nov-2022,location.href = '/disclosure/Inspection/Details/ca4a001f-716d-4af0-8e1f-1159675ac60a' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/ca4a001f-716d-4af0-8e1f-1159675ac60a,https://disclosure55.wechu.org/disclosure/Facility/Details/69a64ccc-296e-4166-8a1e-704cbd0b80a0
Re-Inspection,28-Mar-2024,location.href = '/disclosure/Inspection/Details/bd01f3bc-9322-4de5-a6fe-fb8a165346d6' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/bd01f3bc-9322-4de5-a6fe-fb8a165346d6,https://disclosure55.wechu.org/disclosure/Facility/Details/0385e101-44d8-4dfe-89b4-7971e11a1ea3
Re-Inspection,21-Mar-2024,location.href = '/disclosure/Inspection/Details/2aeca4c5-978a-45b7-b4f6-9fd9b9fe2b3e' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/2aeca4c5-978a-45b7-b4f6-9fd9b9fe2b3e,https://disclosure55.wechu.org/disclosure/Facility/Details/0385e101-44d8-4dfe-89b4-7971e11a1ea3
Required,14-Mar-2024,location.href = '/disclosure/Inspection/Details/359ca83f-d946-4157-ba1f-38a5d75a6b7c' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/359ca83f-d946-4157-ba1f-38a5d75a6b7c,https://disclosure55.wechu.org/disclosure/Facility/Details/0385e101-44d8-4dfe-89b4-7971e11a1ea3
Required,20-Nov-2023,location.href = '/disclosure/Inspection/Details/fb54713d-300b-49d9-8b43-79fa261c087a' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/fb54713d-300b-49d9-8b43-79fa261c087a,https://disclosure55.wechu.org/disclosure/Facility/Details/0385e101-44d8-4dfe-89b4-7971e11a1ea3
Required,11-May-2023,location.href = '/disclosure/Inspection/Details/28e8434c-6b2e-4dae-b339-f0f1126fff77' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/28e8434c-6b2e-4dae-b339-f0f1126fff77,https://disclosure55.wechu.org/disclosure/Facility/Details/0385e101-44d8-4dfe-89b4-7971e11a1ea3
Required,31-Aug-2022,location.href = '/disclosure/Inspection/Details/d2f41409-9914-42e4-918c-25b1596f7fa5' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/d2f41409-9914-42e4-918c-25b1596f7fa5,https://disclosure55.wechu.org/disclosure/Facility/Details/0385e101-44d8-4dfe-89b4-7971e11a1ea3
Required,08-Mar-2024,location.href = '/disclosure/Inspection/Details/462dbf4e-3ef7-4dbc-9eb3-6ec9c71c3ed9' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/462dbf4e-3ef7-4dbc-9eb3-6ec9c71c3ed9,https://disclosure55.wechu.org/disclosure/Facility/Details/32443021-3e45-4f7f-81e0-53964b7c6f6a
Required,01-Sep-2023,location.href = '/disclosure/Inspection/Details/29415cd5-d64d-4648-a1d3-5c8161d2380c' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/29415cd5-d64d-4648-a1d3-5c8161d2380c,https://disclosure55.wechu.org/disclosure/Facility/Details/32443021-3e45-4f7f-81e0-53964b7c6f6a
Required,23-Mar-2023,location.href = '/disclosure/Inspection/Details/a8df519a-6e6a-4358-9472-115147b96959' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/a8df519a-6e6a-4358-9472-115147b96959,https://disclosure55.wechu.org/disclosure/Facility/Details/32443021-3e45-4f7f-81e0-53964b7c6f6a
Required,28-Oct-2022,location.href = '/disclosure/Inspection/Details/27dc8834-965a-43c8-a5ff-9df9ce56d018' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/27dc8834-965a-43c8-a5ff-9df9ce56d018,https://disclosure55.wechu.org/disclosure/Facility/Details/32443021-3e45-4f7f-81e0-53964b7c6f6a
Required,31-May-2022,location.href = '/disclosure/Inspection/Details/19391829-5de1-495f-99cb-7eddb506ec97' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/19391829-5de1-495f-99cb-7eddb506ec97,https://disclosure55.wechu.org/disclosure/Facility/Details/32443021-3e45-4f7f-81e0-53964b7c6f6a
Required,11-Aug-2023,location.href = '/disclosure/Inspection/Details/5544c00a-893f-4129-b2af-99d25f47f73c' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/5544c00a-893f-4129-b2af-99d25f47f73c,https://disclosure55.wechu.org/disclosure/Facility/Details/f71b5966-4ed5-457a-904d-1780308bb941
Required,26-May-2023,location.href = '/disclosure/Inspection/Details/c589539b-431f-4092-b8cf-4517e9740385' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/c589539b-431f-4092-b8cf-4517e9740385,https://disclosure55.wechu.org/disclosure/Facility/Details/0d7af36c-55c8-44cc-b363-a895f85bfadb
Required,07-Nov-2023,location.href = '/disclosure/Inspection/Details/12224b9d-8f67-4fb2-a606-0e5c4baeae44' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/12224b9d-8f67-4fb2-a606-0e5c4baeae44,https://disclosure55.wechu.org/disclosure/Facility/Details/fb6a5cff-7288-4d00-83fb-433a23a8aa5f
Required,26-May-2023,location.href = '/disclosure/Inspection/Details/4782ba49-fc19-48c7-b188-b116b874c6de' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/4782ba49-fc19-48c7-b188-b116b874c6de,https://disclosure55.wechu.org/disclosure/Facility/Details/fb6a5cff-7288-4d00-83fb-433a23a8aa5f
Required,08-Apr-2024,location.href = '/disclosure/Inspection/Details/ca9a0280-f23c-40b6-b41a-ba9cc65f0980' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/ca9a0280-f23c-40b6-b41a-ba9cc65f0980,https://disclosure55.wechu.org/disclosure/Facility/Details/ac8c0ad6-9166-4929-8745-19660b23271a
Re-Inspection,14-Sep-2023,location.href = '/disclosure/Inspection/Details/db63d354-f7ff-4d87-892e-1eef3e8cd10f' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/db63d354-f7ff-4d87-892e-1eef3e8cd10f,https://disclosure55.wechu.org/disclosure/Facility/Details/ac8c0ad6-9166-4929-8745-19660b23271a
Required,13-Sep-2023,location.href = '/disclosure/Inspection/Details/37566e60-4b4c-4556-81ba-b9c333a77139' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/37566e60-4b4c-4556-81ba-b9c333a77139,https://disclosure55.wechu.org/disclosure/Facility/Details/ac8c0ad6-9166-4929-8745-19660b23271a
Required,07-Nov-2022,location.href = '/disclosure/Inspection/Details/2bd8d3ce-3d78-4a48-9674-caeb86b7172a' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/2bd8d3ce-3d78-4a48-9674-caeb86b7172a,https://disclosure55.wechu.org/disclosure/Facility/Details/ac8c0ad6-9166-4929-8745-19660b23271a
Required,12-Oct-2023,location.href = '/disclosure/Inspection/Details/456f9eff-c5fb-47a3-8527-94f5009a77fc' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/456f9eff-c5fb-47a3-8527-94f5009a77fc,https://disclosure55.wechu.org/disclosure/Facility/Details/2ead737c-2174-4b11-96be-71f14a50aff5
Required,22-Jun-2023,location.href = '/disclosure/Inspection/Details/2e2fc26d-50d5-4cb9-a656-0a0d95a9b5bc' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/2e2fc26d-50d5-4cb9-a656-0a0d95a9b5bc,https://disclosure55.wechu.org/disclosure/Facility/Details/2ead737c-2174-4b11-96be-71f14a50aff5
Re-Inspection,26-May-2022,location.href = '/disclosure/Inspection/Details/e439b4a6-8b6f-4512-b5c8-6d11b2883eb4' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/e439b4a6-8b6f-4512-b5c8-6d11b2883eb4,https://disclosure55.wechu.org/disclosure/Facility/Details/2ead737c-2174-4b11-96be-71f14a50aff5
Required,31-Oct-2023,location.href = '/disclosure/Inspection/Details/f91e86ee-8525-4f61-9025-92ea2376d048' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/f91e86ee-8525-4f61-9025-92ea2376d048,https://disclosure55.wechu.org/disclosure/Facility/Details/26c8c544-17d3-4113-ae7c-9a46baa5f647
Required,29-Sep-2022,location.href = '/disclosure/Inspection/Details/515535aa-e293-44ba-a7d0-96489d1f754b' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/515535aa-e293-44ba-a7d0-96489d1f754b,https://disclosure55.wechu.org/disclosure/Facility/Details/26c8c544-17d3-4113-ae7c-9a46baa5f647
Required,27-Jun-2023,location.href = '/disclosure/Inspection/Details/45780540-d25b-4457-a09b-d82ed05b844b' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/45780540-d25b-4457-a09b-d82ed05b844b,https://disclosure55.wechu.org/disclosure/Facility/Details/591e3241-0e75-4d4d-acdc-21d95aaad987
Required,15-Jun-2022,location.href = '/disclosure/Inspection/Details/9cf51961-beea-486c-9bc5-e43383534191' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/9cf51961-beea-486c-9bc5-e43383534191,https://disclosure55.wechu.org/disclosure/Facility/Details/591e3241-0e75-4d4d-acdc-21d95aaad987
Required,21-Mar-2024,location.href = '/disclosure/Inspection/Details/d143b6e9-e0db-4cc1-a136-a9712011ef22' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/d143b6e9-e0db-4cc1-a136-a9712011ef22,https://disclosure55.wechu.org/disclosure/Facility/Details/4c0f9f17-65da-4f39-8f33-27ee959b754c
Required,09-Mar-2023,location.href = '/disclosure/Inspection/Details/1eb48a5f-9691-416e-868e-684382003d01' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/1eb48a5f-9691-416e-868e-684382003d01,https://disclosure55.wechu.org/disclosure/Facility/Details/4c0f9f17-65da-4f39-8f33-27ee959b754c
Required,08-Feb-2024,location.href = '/disclosure/Inspection/Details/74e07bdb-ca1e-4238-b48d-28ee214ccf05' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/74e07bdb-ca1e-4238-b48d-28ee214ccf05,https://disclosure55.wechu.org/disclosure/Facility/Details/c73e360c-eb73-461d-afed-492be6281774
