Facility Name,Site Address,Last Inspection Date,url_entity_partial,category,Facility Type,url_entity_full
Hair Cellar,80 Ross St  St. Thomas ON N5R 3X7,,location.href = '/Portal/Facility/Details/d7c7d4d8-3de7-47ee-a165-0b00652df0b5' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/d7c7d4d8-3de7-47ee-a165-0b00652df0b5
Hair Fashions By Lynne,82 Stover St  Norwich ON N0J 1P0,02/07/2023,location.href = '/Portal/Facility/Details/fd749b8a-417e-4600-99ac-02d3e02fb91b' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/fd749b8a-417e-4600-99ac-02d3e02fb91b
"Hair House, The",162 William St  Port Stanley ON N5L 1E4,,location.href = '/Portal/Facility/Details/a2fea13c-399c-4e3f-8c11-fdf4b1c7054b' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/a2fea13c-399c-4e3f-8c11-fdf4b1c7054b
Hair Ideas,469 Talbot St  St. Thomas ON N5P 1C1,10/23/2023,location.href = '/Portal/Facility/Details/9dcb5c63-2901-4465-942d-95119fdbd151' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/9dcb5c63-2901-4465-942d-95119fdbd151
Hair It Is,21 Kara Lane  Tillsonburg ON N4G 5M3,01/10/2023,location.href = '/Portal/Facility/Details/04a1ecb2-01b7-4cb6-a6bd-ca6175681590' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/04a1ecb2-01b7-4cb6-a6bd-ca6175681590
Hair Lounge Salon,17 Garland Court  Ingersoll ON N5C 3X2,03/13/2023,location.href = '/Portal/Facility/Details/08044dbc-cf53-4888-b1b9-7b1e5ca4bbb9' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/08044dbc-cf53-4888-b1b9-7b1e5ca4bbb9
Hair on the Harbour,235 Colborne St  Port Stanley ON N5L 1B9,09/15/2022,location.href = '/Portal/Facility/Details/9e45fe07-f4d2-4d3d-a458-e2c94f5d5d30' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/9e45fe07-f4d2-4d3d-a458-e2c94f5d5d30
Hair Trends,12 Hope St W  Tavistock ON N0B 2R0,10/19/2023,location.href = '/Portal/Facility/Details/e815578e-f93f-4436-890c-7d1ceab88504' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/e815578e-f93f-4436-890c-7d1ceab88504
"Hair, Body & Soul Cidesco Day Spa",757 Talbot St  St. Thomas ON N5P 1E3,10/23/2023,location.href = '/Portal/Facility/Details/235c60df-63f2-479a-a6cf-497fe740e1c3' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/235c60df-63f2-479a-a6cf-497fe740e1c3
Hairmasters,7B-385 Springbank Ave  Woodstock ON N4T 1R3,,location.href = '/Portal/Facility/Details/f194c91c-e45e-45bf-8d6c-d78baaa92fee' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/f194c91c-e45e-45bf-8d6c-d78baaa92fee
Hairpower Unisex,565 Dundas St  Woodstock ON N4S 1C6,,location.href = '/Portal/Facility/Details/c0352a52-d651-4ceb-a805-3b62194ee7d6' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/c0352a52-d651-4ceb-a805-3b62194ee7d6
Harry B's,26 Peers Pl  Woodstock ON N4S 8G8,12/19/2022,location.href = '/Portal/Facility/Details/1fe5cd0a-484f-4141-9ce5-28a227e8fe36' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/1fe5cd0a-484f-4141-9ce5-28a227e8fe36
Harvest Retirement Community,15 Harvest Ave  Tillsonburg ON N4G 0E2,,location.href = '/Portal/Facility/Details/45cf484e-ac10-4d97-bd54-9bf4fca79dd1' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/45cf484e-ac10-4d97-bd54-9bf4fca79dd1
Haven Salon & Spa,15 Ridout St E  Tillsonburg ON N4G 2C6,01/10/2023,location.href = '/Portal/Facility/Details/2db4ef96-cf76-4a20-879f-41150dabb21d' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/2db4ef96-cf76-4a20-879f-41150dabb21d
Heart Girl Holistic Therapies,188 Mitchell St  Port Stanley ON N5L 1H1,,location.href = '/Portal/Facility/Details/22162241-ebb5-4f50-8e09-31a62ab07abb' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/22162241-ebb5-4f50-8e09-31a62ab07abb
Heather's Hair Shop,808 Lancaster St  Woodstock ON N4S 5N5,,location.href = '/Portal/Facility/Details/c1e3aff6-3318-40d0-9b18-bab32a8ca35b' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/c1e3aff6-3318-40d0-9b18-bab32a8ca35b
Hi Way Hairstyling,595486 Hwy 59  Woodstock ON N4S 7W1,10/30/2023,location.href = '/Portal/Facility/Details/c521664f-934b-4de2-abcd-01ba7ff94038' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/c521664f-934b-4de2-abcd-01ba7ff94038
Hope Sister Wellness,3-17 King St  Aylmer ON N5H 1Z9,,location.href = '/Portal/Facility/Details/a7a2f139-2bcd-45ab-a42b-25efd50e9531' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/a7a2f139-2bcd-45ab-a42b-25efd50e9531
Horizon Hair Studio,40002 Shady Lane Cres  St Thomas ON N5P 3T2,04/03/2023,location.href = '/Portal/Facility/Details/2ba20ec1-6ffe-487b-93c9-d210c7ac01af' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/2ba20ec1-6ffe-487b-93c9-d210c7ac01af
Hue Salon,20 Brock Street West  Tillsonburg ON N4G 2A2,,location.href = '/Portal/Facility/Details/4574a469-2f47-4cea-8348-d2a7a474d35f' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/4574a469-2f47-4cea-8348-d2a7a474d35f
Hush Beauty Bar,787-B Dundas St.  Woodstock ON N4S 1G1,08/02/2023,location.href = '/Portal/Facility/Details/904e615e-7eaa-4805-9247-0e8913b4664c' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/904e615e-7eaa-4805-9247-0e8913b4664c
Hush Hair Boutique,399 Talbot Street  St. Thomas ON N5P 1B7,08/28/2023,location.href = '/Portal/Facility/Details/0357f191-91a2-4805-ac7d-ed4d635d45e7' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/0357f191-91a2-4805-ac7d-ed4d635d45e7
Image Studio Hair,28 London St  Tillsonburg ON N4G 2L3,01/13/2023,location.href = '/Portal/Facility/Details/8cec34e1-e153-4abb-9ff7-7ddc91d423c2' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/8cec34e1-e153-4abb-9ff7-7ddc91d423c2
Images by Gloria,7068 Hacienda Rd  Aylmer ON N5H 2R5,,location.href = '/Portal/Facility/Details/3e6ecf4c-7c56-484a-81eb-5a7df03e3009' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/3e6ecf4c-7c56-484a-81eb-5a7df03e3009
IMG Hair Design,26 James Ave.  Tillsonburg ON N4G 1A4,02/27/2023,location.href = '/Portal/Facility/Details/303a8cc9-80b2-4f61-a35e-9581e81c48b6' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/303a8cc9-80b2-4f61-a35e-9581e81c48b6
Imogen Artistry,9 Farley Place  St. Thomas Ontario N5R 3E6,07/17/2023,location.href = '/Portal/Facility/Details/84660044-38aa-48ea-9afe-15f5fff7f020' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/84660044-38aa-48ea-9afe-15f5fff7f020
In the Alley,127 Broadway St.  Tillsonburg ON N4G 3P7,02/28/2023,location.href = '/Portal/Facility/Details/63d433bb-c6e6-4b8c-be95-6fb262788280' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/63d433bb-c6e6-4b8c-be95-6fb262788280
Infinity Salon,10 St George Street  St. Thomas ON N5P 2K9,11/17/2021,location.href = '/Portal/Facility/Details/0f281831-ae47-4858-86a0-76223c4cfce3' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/0f281831-ae47-4858-86a0-76223c4cfce3
Ingersoll Barber Shop,10 King St W  Ingersoll ON N5C 2J3,10/31/2023,location.href = '/Portal/Facility/Details/fff20e66-3c15-405b-a260-e685ff3c9303' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/fff20e66-3c15-405b-a260-e685ff3c9303
Ink Joy Tattoo,292583 Culloden Rd  Brownsville ON N0L 1C0,10/20/2023,location.href = '/Portal/Facility/Details/999b399c-5018-4459-b6c9-17d03b09feb3' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/999b399c-5018-4459-b6c9-17d03b09feb3
InStyle Salon and Spa,210 Talbot St E  Aylmer ON N5H 1H7,,location.href = '/Portal/Facility/Details/dc28996a-a272-4075-a962-abf6cd97b8f0' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/dc28996a-a272-4075-a962-abf6cd97b8f0
Irenne Spa,513 Dundas St  Woodstock ON N4S 1C3,04/19/2023,location.href = '/Portal/Facility/Details/c3847238-c855-4a32-9425-b12ef82c0a4e' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/c3847238-c855-4a32-9425-b12ef82c0a4e
Jenn’s Electrolysis,78 Lindsay Rd  Woodstock ON N4V 1A8,08/15/2023,location.href = '/Portal/Facility/Details/0503e825-51d5-4e27-83e6-d5f841db2b08' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/0503e825-51d5-4e27-83e6-d5f841db2b08
Jenni's Nails & Spa,149 Thames St S  Ingersoll ON N5C 2T3,02/07/2023,location.href = '/Portal/Facility/Details/223b8df3-5a02-4141-8802-e656d721764e' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/223b8df3-5a02-4141-8802-e656d721764e
Jenn's Vanity Affhair Salon,593761 Hwy 59  Burgessville ON N0J 1C0,01/19/2023,location.href = '/Portal/Facility/Details/3d9b67e5-f7d6-4a99-a369-613a9d725062' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/3d9b67e5-f7d6-4a99-a369-613a9d725062
Jhairy's Men's Hair,21 Talbot St E  Aylmer ON N5H 1H3,,location.href = '/Portal/Facility/Details/f6a9eeda-7c76-44fe-a52f-ebbaf279fb12' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/f6a9eeda-7c76-44fe-a52f-ebbaf279fb12
Jingles Hair Salon,14 King St W  Ingersoll ON N5C 2J3,04/14/2023,location.href = '/Portal/Facility/Details/b8618461-69ea-4aae-8776-989ffaab0ad5' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/b8618461-69ea-4aae-8776-989ffaab0ad5
Julia's Sugar & Spa,154 Lyndale Cres  Woodstock ON N4S 7S9,08/08/2023,location.href = '/Portal/Facility/Details/0559a287-eb3b-4c0b-858a-54ee09740ce2' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/0559a287-eb3b-4c0b-858a-54ee09740ce2
Kathy's Hair Flair,584556 Beachville Rd  Beachville ON N0J 1A0,,location.href = '/Portal/Facility/Details/abef8ea0-5379-4325-b31c-047d8e1eb28c' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/abef8ea0-5379-4325-b31c-047d8e1eb28c
Kelly Nails & Spa,990 Dundas St  Woodstock ON N4S 1H3,10/05/2023,location.href = '/Portal/Facility/Details/e1f14196-e7c3-4d03-b493-ba133538557b' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/e1f14196-e7c3-4d03-b493-ba133538557b
Kev's Barber Shop,773 Talbot St  St Thomas ON N5P 1E3,,location.href = '/Portal/Facility/Details/8dc8d696-a59e-4521-9bf3-dfab2cf2249e' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/8dc8d696-a59e-4521-9bf3-dfab2cf2249e
Kingsmen Hair Studio,4-801 Dundas St  Woodstock ON N4S 1G4,08/28/2023,location.href = '/Portal/Facility/Details/f327c29d-9bc7-4777-889f-453ebc249437' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/f327c29d-9bc7-4777-889f-453ebc249437
Kit's Kuts,25 Parkwood Dr  Tillsonburg ON N4G 2B7,01/24/2023,location.href = '/Portal/Facility/Details/d0ec7eda-54d3-4ee5-a6e1-530b9ef067af' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/d0ec7eda-54d3-4ee5-a6e1-530b9ef067af
Knotty Beauty Inc.,C-521 Dundas Street  Woodstock Ontario N4S 1C3,01/12/2023,location.href = '/Portal/Facility/Details/9b6aeec2-218a-48fa-b0d0-5695da894f26' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/9b6aeec2-218a-48fa-b0d0-5695da894f26
KT Advanced Skin & Body Care,784 Bayswater St  Woodstock ON N4S 5K5,10/10/2023,location.href = '/Portal/Facility/Details/29ea1396-eed4-4ac6-8945-d63549f76956' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/29ea1396-eed4-4ac6-8945-d63549f76956
Kynd Beauty Spa,2nd Floor-204 Huron St  Woodstock ON N4S 7A1,02/28/2023,location.href = '/Portal/Facility/Details/93c506b6-5dbb-44c8-8fe0-e284a815fa37' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/93c506b6-5dbb-44c8-8fe0-e284a815fa37
Lady Di's Beauty Nook,19 Wellington St N  Woodstock ON N4S 6P1,,location.href = '/Portal/Facility/Details/31aa8eb9-4355-4ee0-b897-fa12ae9daaa8' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/31aa8eb9-4355-4ee0-b897-fa12ae9daaa8
Lady Unlucky Tattoo,73 Fifth Ave  St. Thomas ON N5R 4C8,08/10/2022,location.href = '/Portal/Facility/Details/96bb0609-236d-4715-93f7-4227e9b8d206' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/96bb0609-236d-4715-93f7-4227e9b8d206
Laser by Jackie,249 Talbot St  St. Thomas ON N5P 1B3,04/06/2023,location.href = '/Portal/Facility/Details/1afeab3a-7467-4f1f-98ca-2cf8d6f803aa' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/1afeab3a-7467-4f1f-98ca-2cf8d6f803aa
Lash Style By Liz,20262 McMillan Line  Rodney Ontario N0L 2C0,,location.href = '/Portal/Facility/Details/4b89762a-bf4b-4026-9360-46d0e028a2e2' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/4b89762a-bf4b-4026-9360-46d0e028a2e2
LashOut with Joce,247 Talbot Street  St. Thomas Ontario N5P 1B3,03/21/2023,location.href = '/Portal/Facility/Details/0f042b21-754a-4a46-b98e-8c019a8aea2d' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/0f042b21-754a-4a46-b98e-8c019a8aea2d
Lauren Michael's Salon/Barber,162 Borden Ave  Belmont ON N0L 1B0,11/25/2022,location.href = '/Portal/Facility/Details/93d3d0aa-a7dd-4fb4-a680-a00cb51a56ec' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/93d3d0aa-a7dd-4fb4-a680-a00cb51a56ec
Leakh Cheam,123B-417 Wellington St  St Thomas ON N5R 5J5,,location.href = '/Portal/Facility/Details/64a82410-451d-43c5-8f45-0e72374595fb' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/64a82410-451d-43c5-8f45-0e72374595fb
Legacy Tattoo and Piercing,379 Talbot St  St Thomas ON N5P 1B7,,location.href = '/Portal/Facility/Details/bf052979-174b-48d9-805d-a0f94787ad50' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/bf052979-174b-48d9-805d-a0f94787ad50
Lena Luxury Nails & Spa,3 Greeneagle Dr  Tillsonburg ON N4G 5V6,02/21/2023,location.href = '/Portal/Facility/Details/b0f086e1-f0c2-46dd-8a92-97b9f0bd4fc2' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/b0f086e1-f0c2-46dd-8a92-97b9f0bd4fc2
Lichti's Barber Shop,5 Homewood Ave. E  Tavistock ON N0B 2R0,,location.href = '/Portal/Facility/Details/9f797b60-1cc7-4e18-8f92-6ec1e135820d' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/9f797b60-1cc7-4e18-8f92-6ec1e135820d
Limitless Tattoo,529 Talbot St  St. Thomas ON N5P 1C3,07/28/2022,location.href = '/Portal/Facility/Details/648c644d-d741-4dc4-a90a-928018521bec' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/648c644d-d741-4dc4-a90a-928018521bec
Lionessence Beauty Supply,2-815 Juliana Dr  Woodstock ON N4V 1A2,09/29/2023,location.href = '/Portal/Facility/Details/9a081f21-ca26-459c-abfc-8eaa5636e528' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/9a081f21-ca26-459c-abfc-8eaa5636e528
Little Town Beauty Boutique,114 Thames St S  Ingersoll ON N5C 1T6,10/04/2023,location.href = '/Portal/Facility/Details/37fcc755-c0a0-463a-a47e-e7dffba8bcf4' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/37fcc755-c0a0-463a-a47e-e7dffba8bcf4
"Loft Hair Refinery, The",575 Talbot St  St. Thomas Ontario N5P 1C5,10/11/2023,location.href = '/Portal/Facility/Details/f2d78d1d-e2cd-4b8d-b770-32a3f9a12af9' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/f2d78d1d-e2cd-4b8d-b770-32a3f9a12af9
Lorraine Wilkins Hair,194 Main St  Port Stanley ON N5R 3X6,,location.href = '/Portal/Facility/Details/77559154-7374-49c0-bf80-2ad7792819df' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/77559154-7374-49c0-bf80-2ad7792819df
Luscious Looks,181 Thames St S  Ingersoll ON N5C 2T6,08/02/2023,location.href = '/Portal/Facility/Details/81253763-b085-4f74-bde1-119ba266c911' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/81253763-b085-4f74-bde1-119ba266c911
Lux Salon and Spa,6 McKenzie St  Tillsonburg ON N4G 2E6,01/24/2023,location.href = '/Portal/Facility/Details/3de1bf92-ff51-4ae1-a1d7-48cccf9610d5' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/3de1bf92-ff51-4ae1-a1d7-48cccf9610d5
Lux Spa,114 Centre St  St. Thomas ON,,location.href = '/Portal/Facility/Details/27ab49e2-3bb0-4e04-a618-067f2f6b540b' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/27ab49e2-3bb0-4e04-a618-067f2f6b540b
Luxe Hair Artistry,20 Churchill Crescent  St. Thomas Ontario N5R 1N8,09/29/2023,location.href = '/Portal/Facility/Details/5a55c199-cdaf-4e7a-8006-922d77bec96a' ,"Hair, Aesthetics, Tattoo And Body Piercing",,https://healthinspect.ca/Portal/Facility/Details/5a55c199-cdaf-4e7a-8006-922d77bec96a
