Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Services Inspected,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
2 Legged Bear Mobile Food Cart - Mobile Food Cart,25965 Hwy 540  Meldrum Bay ON P0P 1R0,Food Take Out,,location.href = '/Facility/Details/feed83f5-b56d-4ffc-873f-392903d4b9e5' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/feed83f5-b56d-4ffc-873f-392903d4b9e5
3 Cows & A Cone,64 Meredith Street East  Little Current ON P0P 1K0,Food Take Out,26-Mar-2024,location.href = '/Facility/Details/63aab2ae-9bb1-4d4c-83f9-70918eb6deff' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/63aab2ae-9bb1-4d4c-83f9-70918eb6deff
3 Cows Fries,64 Meredith Street East  Little Current ON P0P 1K0,Food Take Out,01-May-2024,location.href = '/Facility/Details/b3899bdf-157e-42af-a46b-ccedd5d9edcb' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b3899bdf-157e-42af-a46b-ccedd5d9edcb
5 Fish Resort & Marina,25 Whippoorwill Rd  Alban ON P0M 1A0,Food Store (Convenience / Variety),12-Jun-2023,location.href = '/Facility/Details/9a20f36c-5a2d-4e5e-a08b-47d06af64976' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/9a20f36c-5a2d-4e5e-a08b-47d06af64976
540 Ends General Store - Food Store/Variety,25965 Highway 540  Meldrum Bay ON P0P 1R0,Food Store (Convenience / Variety),24-Jul-2023,location.href = '/Facility/Details/9d58f39e-efa0-48fe-931b-c910269b8602' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/9d58f39e-efa0-48fe-931b-c910269b8602
621 Lagace Convinience,621 Notre Dame Avenue  Sudbury ON P3C 5L4,Food Store (Convenience / Variety),14-Aug-2023,location.href = '/Facility/Details/f9a9fcfc-8d1a-4c32-849f-650169414cc7' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f9a9fcfc-8d1a-4c32-849f-650169414cc7
7 Star Dumpling House,1-1355 Regent St  Sudbury ON P3E 3Z1,Restaurant,29-Jan-2024,location.href = '/Facility/Details/48e1c213-9650-484e-a5fc-ef241135692c' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/48e1c213-9650-484e-a5fc-ef241135692c
7 Star Dumpling House,1899 Lasalle Boulevard  Sudbury ON P3A 2A3,Restaurant,04-Apr-2024,location.href = '/Facility/Details/478c8ff5-d440-40c9-a178-f61cfcecffd0' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/478c8ff5-d440-40c9-a178-f61cfcecffd0
705 Foods,269 Levesque Street  Sudbury ON P3B 3T3,Food Warehouse / Depot,12-Mar-2024,location.href = '/Facility/Details/bd8a295a-33f8-4be3-adc0-3db31224d56f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/bd8a295a-33f8-4be3-adc0-3db31224d56f
705Pita+,1299 Marcus Drive  Sudbury ON P3B 4K6,Restaurant,30-Apr-2024,location.href = '/Facility/Details/71f2ec4c-ee58-4dca-8688-2a99e13b0a9f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/71f2ec4c-ee58-4dca-8688-2a99e13b0a9f
84 Station,84 Elgin Street  Sudbury ON P3E 3N3,Cocktail Bar / Beverage Room,01-Dec-2023,location.href = '/Facility/Details/57af5646-76cd-412a-b165-d46caf9c853b' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/57af5646-76cd-412a-b165-d46caf9c853b
A & W,803 Centre Street  Espanola Ontario P5E 1T3,Restaurant,16-Jan-2024,location.href = '/Facility/Details/cee9bf7b-8390-4b4f-9ee8-12cedf82278a' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/cee9bf7b-8390-4b4f-9ee8-12cedf82278a
A & W,1099 Marcus Drive  Sudbury ON P3B 4K6,Restaurant,19-Jan-2024,location.href = '/Facility/Details/31c2329e-5358-4286-a5a1-359daaac70b1' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/31c2329e-5358-4286-a5a1-359daaac70b1
A & W,2404 Long Lake Road  Sudbury ON P3E 5H5,Restaurant,20-Mar-2024,location.href = '/Facility/Details/27515450-92bd-4b2f-b8cf-55e7f2b253d7' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/27515450-92bd-4b2f-b8cf-55e7f2b253d7
A & W,1380 Lasalle Boulevard  Sudbury ON P3A 1Z6,Restaurant,04-Apr-2024,location.href = '/Facility/Details/c21e5a53-7b98-4edb-808f-59d8100f98ac' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c21e5a53-7b98-4edb-808f-59d8100f98ac
A & W,1349 Lasalle Boulevard  Sudbury ON P3A 1Z2,Food Take Out,12-Feb-2024,location.href = '/Facility/Details/764d64da-37f6-4bc9-b522-85bd3e401241' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/764d64da-37f6-4bc9-b522-85bd3e401241
A & W,3080 Highway 69 North  Val Caron ON P3N 1R8,Restaurant,21-Feb-2024,location.href = '/Facility/Details/5f537b70-c542-471f-90e5-9be7db51adbf' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5f537b70-c542-471f-90e5-9be7db51adbf
A & W,3672 Highway 144  Chelmsford ON P0M 1L0,Restaurant,05-Apr-2024,location.href = '/Facility/Details/e3bca2a3-01ab-4132-a3f8-a7a3755ea5be' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/e3bca2a3-01ab-4132-a3f8-a7a3755ea5be
A&L Family Diner,12-145 Regional Road 24  Lively ON P3Y 1J1,Restaurant,25-Mar-2024,location.href = '/Facility/Details/4b19bcde-64d2-4625-acaa-831deb0cc2eb' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/4b19bcde-64d2-4625-acaa-831deb0cc2eb
A.B. Ellis Public School,164 Mead Boulevard  Espanola ON P5E 1S3,School Nourishment Program,25-Oct-2023,location.href = '/Facility/Details/b543f80e-78f1-4f23-8e1e-2adcf19ca33b' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b543f80e-78f1-4f23-8e1e-2adcf19ca33b
Abbies Kitchen & Event Planner,150-40 Elm Street  Greater Sudbury ON P3C 1S8,Food Take Out,02-Apr-2024,location.href = '/Facility/Details/1f380937-d404-4429-8edd-aefbf79d5b4f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/1f380937-d404-4429-8edd-aefbf79d5b4f
Aboriginal Peoples Alliance Northern Ontario,152 Durham St  Sudbury ON P3E 3M9,Community Kitchen Meal Program,16-Nov-2023,location.href = '/Facility/Details/ebda13fe-f485-49ed-b0f7-5d94a343a371' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/ebda13fe-f485-49ed-b0f7-5d94a343a371
Access Network,111 Larch Street  Sudbury ON P3E 1T5,Food Bank,01-Dec-2023,location.href = '/Facility/Details/b4514b08-2c7f-4bc3-91e0-63951bbdb809' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b4514b08-2c7f-4bc3-91e0-63951bbdb809
Adamsdale Public School,181 1st Ave  Sudbury ON P3B 3L3,School Nourishment Program,11-Dec-2023,location.href = '/Facility/Details/b2fd19e0-6a43-4ef1-89f3-12b2ff19ea27' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b2fd19e0-6a43-4ef1-89f3-12b2ff19ea27
Adanac Chalet,744 Beatrice Crescent  Sudbury ON P3A 5B5,Food Take Out,07-Mar-2024,location.href = '/Facility/Details/4c40eda4-bd5b-4f5c-9653-48453fad2d75' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/4c40eda4-bd5b-4f5c-9653-48453fad2d75
Adoro Olive Oils & Vinegars,112-1984 Regent Street  Sudbury ON P3E 5S1,Food Store (Convenience / Variety),11-Dec-2023,location.href = '/Facility/Details/1bca07c6-2e00-4910-91b6-d63344d98341' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/1bca07c6-2e00-4910-91b6-d63344d98341
Agnew Lake Lodge - Food Take-Out,no site address,Food Take Out,,location.href = '/Facility/Details/37aecb34-3253-4541-b0a8-4c09b62385bf' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/37aecb34-3253-4541-b0a8-4c09b62385bf
Alban Community Centre,796 Highway 64  Alban ON P0M 1A0,Special Event Banquet Hall,24-Apr-2024,location.href = '/Facility/Details/c2e54d91-4ff8-47d2-a124-1df473bf5ba5' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c2e54d91-4ff8-47d2-a124-1df473bf5ba5
Alexander Kids,39 St. Brendan Street  Sudbury ON P3E 1K3,Child-Care Setting Catered,28-Apr-2023,location.href = '/Facility/Details/0b56d4d4-a567-4fbd-b599-a7ad136c53fa' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/0b56d4d4-a567-4fbd-b599-a7ad136c53fa
Ali Baba Cafe,833 Ontario Street  Sudbury ON P3E 4L1,Restaurant,21-Jul-2023,location.href = '/Facility/Details/c0be5483-a02f-4338-ba97-99b4cf82b396' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c0be5483-a02f-4338-ba97-99b4cf82b396
All Stars North,1492 Paris Street  Sudbury ON P3E 3B8,Food Take Out,16-Apr-2024,location.href = '/Facility/Details/d9b503bb-af0d-4dc8-930e-2e4412cc958d' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d9b503bb-af0d-4dc8-930e-2e4412cc958d
Alliance Coffee & Water,450 Second Avenue  Sudbury Ontario P3B 4A4,Food Warehouse / Depot,17-Aug-2023,location.href = '/Facility/Details/54320c57-fb1d-4efc-aaba-807610b41ea5' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/54320c57-fb1d-4efc-aaba-807610b41ea5
Almaz Health Food Store,41 Meredith Street  Gore Bay ON P0P 1H0,Restaurant,27-Jun-2023,location.href = '/Facility/Details/bb57b025-a0fb-4354-af86-6f44d4fb141a' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/bb57b025-a0fb-4354-af86-6f44d4fb141a
Alzheimer Society Sudbury,960 Notre Dame Avenue  Sudbury ON P3B 2T4,Community Kitchen Meal Program,07-Feb-2024,location.href = '/Facility/Details/4f98450e-09fe-45a8-8fcb-fd3eeb8be2cb' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/4f98450e-09fe-45a8-8fcb-fd3eeb8be2cb
Amici Food + Beverage Co.,863 Barrydowne Road  Sudbury ON P3A 3T9,Food Take Out,15-Feb-2024,location.href = '/Facility/Details/42e34015-995a-40c2-a61d-eb868f714340' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/42e34015-995a-40c2-a61d-eb868f714340
Amici/Gluten Free Galore,145 Regional Rd 24  Lively ON P3Y 1C3,Bakery (Retail and Production),12-Apr-2024,location.href = '/Facility/Details/5db347e0-0f88-46dc-a71f-7cd4831e03cf' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/5db347e0-0f88-46dc-a71f-7cd4831e03cf
An Mart,1355 Falconbridge Road  Sudbury ON P3A 4N6,Food Store (Convenience / Variety),,location.href = '/Facility/Details/04010d6f-c6b5-42f3-9645-6aa3dad91b89' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/04010d6f-c6b5-42f3-9645-6aa3dad91b89
An Mart,1355 Falconbridge Road  Sudbury ON P3A 4N6,Food Take Out,,location.href = '/Facility/Details/d9a2de70-39ec-4c76-b75e-43edbd8758b8' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/d9a2de70-39ec-4c76-b75e-43edbd8758b8
Anchor Inn,1 Water Street  Little Current ON P0P 1K0,Restaurant,06-Mar-2024,location.href = '/Facility/Details/70694459-f709-467b-a0c8-38cab9a4622e' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/70694459-f709-467b-a0c8-38cab9a4622e
Anderson Farm Museum,550 Regional Road 24  Lively ON P3Y 1N2,Special Event Banquet Hall,24-Oct-2023,location.href = '/Facility/Details/edf112c8-a6d2-435d-8f9c-4b8495f67373' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/edf112c8-a6d2-435d-8f9c-4b8495f67373
Andrew's Your Independent Grocer,24 Amanda Street  Coniston ON P0M 1M0,Food Take Out,01-Feb-2024,location.href = '/Facility/Details/9c19fb32-37e9-42d6-89f1-3fd7ca64832c' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/9c19fb32-37e9-42d6-89f1-3fd7ca64832c
Andrew's Your Independent Grocer,24 Amanda Street  Coniston ON P0M 1M0,Supermarket,01-Feb-2024,location.href = '/Facility/Details/21601ccb-7dd1-4c58-934f-125e503f8282' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/21601ccb-7dd1-4c58-934f-125e503f8282
Andrew's Your Independent Grocer,24 Amanda Street  Coniston ON P0M 1M0,Butcher Shop,01-Feb-2024,location.href = '/Facility/Details/7ec0da42-1120-462a-8b3b-e28091248f20' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/7ec0da42-1120-462a-8b3b-e28091248f20
Andrew's Your Independent Grocer,24 Amanda Street  Coniston ON P0M 1M0,Bakery (Retail and Production),01-Feb-2024,location.href = '/Facility/Details/91326322-a3ac-465b-ad7f-bc3075e3de23' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/91326322-a3ac-465b-ad7f-bc3075e3de23
Angele Bakes,58 Eclipse Street  Sudbury ON P3B 0E6,Bakery (Retail and Production),08-Apr-2024,location.href = '/Facility/Details/2c8c94ad-115f-402f-bedf-3b092c948820' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/2c8c94ad-115f-402f-bedf-3b092c948820
Aniko Pasta,11-1351C Kelly Lake Road  Sudbury ON P3E 5P5,Food Processing Plant,,location.href = '/Facility/Details/54c22194-0adb-4269-9c6a-73c19e0a9076' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/54c22194-0adb-4269-9c6a-73c19e0a9076
Anishinabe Spiritual Centre,1091 Anderson Lake Rd  Espanola ON P5E 1T1,Boarding / Lodging / Group Home,30-Aug-2023,location.href = '/Facility/Details/177151d7-939c-46a5-bc5c-afef8187e600' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/177151d7-939c-46a5-bc5c-afef8187e600
Antwerp Playground,459 Antwerp Ave  Sudbury ON,Refreshment / Concession Stand,,location.href = '/Facility/Details/f9602cb0-b4b0-409c-8778-e6599ff66e25' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f9602cb0-b4b0-409c-8778-e6599ff66e25
A-ONE Dumpling Shop,40 Elm Street  Sudbury ON P3C 1S8,Food Take Out,03-May-2024,location.href = '/Facility/Details/51971602-ff6d-4da1-ae3a-c319d8881e84' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/51971602-ff6d-4da1-ae3a-c319d8881e84
APANO - Drop In Centre,8 Lorne Street  Chapleau ON P0M 1K0,Child Care Nourishment (Not Institutional),27-Feb-2024,location.href = '/Facility/Details/b120496d-1fe7-4821-bdec-6a2f7f48109c' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b120496d-1fe7-4821-bdec-6a2f7f48109c
APANO (Cap-C/LTC),5 Sixth Ave  Foleyet ON P0M 1T0,Satellite / Serving Kitchen,,location.href = '/Facility/Details/fcf9a594-aa23-4791-916c-a0b05015bb5c' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/fcf9a594-aa23-4791-916c-a0b05015bb5c
APANO (CWW/CAP-C/LCT),8 Lorne Street  Chapleau ON P0M 1K0,Private Club,21-Mar-2024,location.href = '/Facility/Details/c4d42647-7c07-4371-9fb7-54ff872dfc7b' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c4d42647-7c07-4371-9fb7-54ff872dfc7b
Apollo Restaurant,844 Kingsway Boulevard  Sudbury ON P3B 2E5,Restaurant,09-Feb-2024,location.href = '/Facility/Details/bbd1559f-154b-423b-8670-35b9cc581fa7' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/bbd1559f-154b-423b-8670-35b9cc581fa7
Arby's,1865 Paris Street  Sudbury ON P3E 3C5,Restaurant,19-Jan-2023,location.href = '/Facility/Details/b138d89c-f623-4758-b67c-15936e367b14' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b138d89c-f623-4758-b67c-15936e367b14
Architect Roasting,121 Catalina Court  Sudbury ON P3E 5M5,Food Processing Plant,08-Nov-2023,location.href = '/Facility/Details/087e2c94-3958-426b-bb2f-f6b1aca762e9' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/087e2c94-3958-426b-bb2f-f6b1aca762e9
Artist Adventures,116 Queen Street  Manitowaning ON P0P 1N0,Food Take Out,21-Jul-2023,location.href = '/Facility/Details/86da6df8-5b96-42cf-a908-40a9a1e26c49' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/86da6df8-5b96-42cf-a908-40a9a1e26c49
Assiginack Child Care,134 Michaels Bay Road  Manitowaning ON P0P 1N0,Child-Care Setting Food Preparation,02-May-2024,location.href = '/Facility/Details/654da1ef-cd68-47c0-a616-92daee511b1f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/654da1ef-cd68-47c0-a616-92daee511b1f
Assiginack Community Centre,59 Vankoughnet Street  Manitowaning ON P0P 1N0,Refreshment / Concession Stand,13-Mar-2023,location.href = '/Facility/Details/50b842fa-e1b2-4656-a092-df287182276f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/50b842fa-e1b2-4656-a092-df287182276f
Assiginack Curling Club,26 Clover Valley Road  Manitowaning ON P0P 1N0,Special Event Banquet Hall,13-Mar-2023,location.href = '/Facility/Details/71ba7742-5f0e-4327-8433-a0a8f853517d' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/71ba7742-5f0e-4327-8433-a0a8f853517d
Assiginack Public School,134 Michaels Bay Road  Manitowanning Ontario P0P 1N0,School Nourishment Program,10-Mar-2023,location.href = '/Facility/Details/ca507976-1e6f-482c-a028-1f1226736bd5' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/ca507976-1e6f-482c-a028-1f1226736bd5
At 827 Chipstand,827 Highway 64  Alban ON P0M 1A0,Food Take Out,16-Apr-2024,location.href = '/Facility/Details/eb7440d8-d0c0-4647-9952-f2865f3223b2' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/eb7440d8-d0c0-4647-9952-f2865f3223b2
Aux Trois Moulins,154 Martel Road  Chapleau ON P0M 1K0,Restaurant,22-Apr-2024,location.href = '/Facility/Details/95c97f98-2430-442d-83d6-c84f24150145' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/95c97f98-2430-442d-83d6-c84f24150145
B & B Convenience Store,9 Main Street  St. Charles ON P0M 2W0,Food Store (Convenience / Variety),27-Feb-2024,location.href = '/Facility/Details/ba9c2758-5360-45e3-944e-9737fe383e31' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/ba9c2758-5360-45e3-944e-9737fe383e31
B & B Convenience-Lunch Counter,9 Main Street  St.-Charles ON P0M 2W0,Food Take Out,27-Feb-2024,location.href = '/Facility/Details/ba766a06-50ac-4b95-95bc-79f3135005de' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/ba766a06-50ac-4b95-95bc-79f3135005de
B & B Variety,4572 Gatien Avenue  Hanmer ON P3P 1E9,Food Store (Convenience / Variety),18-Apr-2024,location.href = '/Facility/Details/aaa8b4d4-684f-4aa8-a106-41d15bc2e0d8' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/aaa8b4d4-684f-4aa8-a106-41d15bc2e0d8
B & D Meats,592 Lasalle Boulevard  Sudbury ON P3A 1W9,Butcher Shop,27-Apr-2023,location.href = '/Facility/Details/a30b18b4-b932-45b0-8b0a-7a7474190690' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a30b18b4-b932-45b0-8b0a-7a7474190690
Bait House,1014 Highway 17 East  Wahnapitae ON P0M 3C0,Food Store (Convenience / Variety),09-Feb-2024,location.href = '/Facility/Details/36eb8d51-0bca-4821-9b75-a208398f5bd5' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/36eb8d51-0bca-4821-9b75-a208398f5bd5
Banque d'aliments Sudbury Food Bank,1105 Webbwood Drive  Sudbury ON P3C 3B6,Community Kitchen Meal Program,25-Apr-2024,location.href = '/Facility/Details/6f5a836f-5317-4ec6-867d-a9211b85e05d' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/6f5a836f-5317-4ec6-867d-a9211b85e05d
Banque d'aliments Sudbury Food Bank,1105 Webbwood Drive  Sudbury ON P3C 3B6,Food Bank,25-Apr-2024,location.href = '/Facility/Details/790b5a15-c93f-45b4-a073-867c81975b9c' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/790b5a15-c93f-45b4-a073-867c81975b9c
Bar None by Cassie,8431 Tilton Lake Road  Sudbury ON P3G 1L7,Bakery (Retail and Production),07-Nov-2023,location.href = '/Facility/Details/e64d9637-3ffe-49fc-ad7f-49c78353ebda' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/e64d9637-3ffe-49fc-ad7f-49c78353ebda
BarBurrito,1277 Kingsway Boulevard  Sudbury ON P3B 2E6,Restaurant,16-Feb-2024,location.href = '/Facility/Details/f7a70eb0-7431-473d-9932-88c663905374' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/f7a70eb0-7431-473d-9932-88c663905374
BarBurrito,2996 Old Highway 69  Val Caron ON P3N 1E3,Restaurant,15-Jan-2024,location.href = '/Facility/Details/c9d90d71-dc73-4bd0-9e27-ec71224ad645' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/c9d90d71-dc73-4bd0-9e27-ec71224ad645
Barney's Bargain Barn,1 Vankoughnet Street East  Little Current ON P0P 1K0,Food Bank,04-Apr-2023,location.href = '/Facility/Details/4e5cb5e4-ed22-462a-8cb7-2594c9183b67' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/4e5cb5e4-ed22-462a-8cb7-2594c9183b67
Barrydowne College,1400 Barrydowne Road  Sudbury ON P3A 3V8,School Nourishment Program,05-Apr-2024,location.href = '/Facility/Details/3120543a-557d-4a81-895e-6478c372ffdb' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/3120543a-557d-4a81-895e-6478c372ffdb
Barrydowne Shell,1438 Lasalle Boulevard  Sudbury ON P3A 1Z7,Food Store (Convenience / Variety),17-Jan-2024,location.href = '/Facility/Details/ba327259-bd2d-4a97-81da-d9acfc35e2c8' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/ba327259-bd2d-4a97-81da-d9acfc35e2c8
Batman's Cottages Camping & Trailer Park,11408 Highway 6  Sheguiandah ON P0P 1W0,Food Store (Convenience / Variety),29-May-2023,location.href = '/Facility/Details/eab91979-1bf0-4caf-a85c-42c2d04a8b5a' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/eab91979-1bf0-4caf-a85c-42c2d04a8b5a
Be The Ball,222 Alder Street  Sudbury ON P3C 4J2,Restaurant,28-Aug-2023,location.href = '/Facility/Details/956bc489-32f8-4e39-a52e-3995aefd105a' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/956bc489-32f8-4e39-a52e-3995aefd105a
Bear,15 Water Street  Little Current ON P0P 1K0,Restaurant,06-Mar-2024,location.href = '/Facility/Details/7478ef82-cc90-4747-b546-87725db68d60' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/7478ef82-cc90-4747-b546-87725db68d60
Beards Bakery at the Y,YMCA Centre for Life 140 Durham Street  Sudbury ON P3E 3M7,Refreshment / Concession Stand,12-Mar-2024,location.href = '/Facility/Details/42ba90b0-219d-4844-9f1c-9187c0341e67' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/42ba90b0-219d-4844-9f1c-9187c0341e67
Beards Coffee Bar & Bakery,587 Kathleen Street  Sudbury ON P3C 2N4,Bakery (Retail and Production),14-Feb-2024,location.href = '/Facility/Details/1b13f16b-4c7c-45e4-aa08-6ced4f323855' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/1b13f16b-4c7c-45e4-aa08-6ced4f323855
Bear's Den Lodge,Hartley Bay Road  Alban ON P0M 1A0,Restaurant,06-Sep-2023,location.href = '/Facility/Details/cad7365d-e970-442c-9726-9cc7b4e3c59e' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/cad7365d-e970-442c-9726-9cc7b4e3c59e
Beattie Kids,102 Loach's Road  Sudbury ON P3E 2P7,Child-Care Setting Food Preparation,15-Jun-2023,location.href = '/Facility/Details/0537b06d-e312-4c5a-9f06-7b524557667b' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/0537b06d-e312-4c5a-9f06-7b524557667b
Beaver Lake Sports & Cultural Club,45 Club Road  Worthington ON P0M 3H0,Full-Service Banquet Hall,29-Apr-2024,location.href = '/Facility/Details/b56b40c5-79ff-4946-af26-4f94d04fde37' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b56b40c5-79ff-4946-af26-4f94d04fde37
Bed Bath & Beyond,B2-1499 Marcus Drive  Sudbury ON P3B 4K6,Food Store (Convenience / Variety),26-Jan-2023,location.href = '/Facility/Details/91f58131-7505-4332-b20d-1b77b842092e' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/91f58131-7505-4332-b20d-1b77b842092e
Bell Park Main Beach Concession Stand,1 Bell Park Road  Sudbury ON P3E 5J1,Food Take Out,08-Aug-2023,location.href = '/Facility/Details/2c7c135a-2983-4232-9b4e-d8f4f8bb7f4d' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/2c7c135a-2983-4232-9b4e-d8f4f8bb7f4d
