Facility Name,Facility Type,Last Inspection Date,Site Address,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Resolved Date,url_entity_full
1/4 Mile Diner,Mobile Preparation Premises,30-Jun-2023,Toronto Motorsports Park-180 Kohler Road Cayuga ON,location.href = '/Portal/Facility/Details/c9407427-2cd5-461c-9553-9d2c882ce1d0' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/c9407427-2cd5-461c-9553-9d2c882ce1d0
2 Main West Variety & Gas,Convenience / Variety,14-Mar-2024,"2 Main Avenue West, P.O. Box 83 Fisherville ON N0A 1G0",location.href = '/Portal/Facility/Details/74ed2681-98aa-4012-94dd-1a323fd4d077' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/74ed2681-98aa-4012-94dd-1a323fd4d077
211 Main,Restaurant,26-Jan-2024,211 Main St Port Dover ON N0A 1N0,location.href = '/Portal/Facility/Details/60ec1c6c-d4dc-4242-b044-00b4575d903d' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/60ec1c6c-d4dc-4242-b044-00b4575d903d
4 Seasons Farm Shop,Convenience / Variety,01-Dec-2023,691 Norfolk St S Simcoe ON N3Y 4K1,location.href = '/Portal/Facility/Details/6d3edf96-b47e-4cd0-a55f-d0265d28eb34' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6d3edf96-b47e-4cd0-a55f-d0265d28eb34
4280 Pho + Gourmet Take-out,Food Take Out,12-Jan-2024,C-318 Main St PO Box 329 Port Dover ON N0A 1N0,location.href = '/Portal/Facility/Details/d5438f35-55fe-407d-8244-16f1d15d6f2b' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d5438f35-55fe-407d-8244-16f1d15d6f2b
A&W,Restaurant,24-Oct-2023,213 Broad St E. Dunnville ON N1A 1G1,location.href = '/Portal/Facility/Details/6f6c6ba6-9714-4031-a8e5-2ac9ad5f5cf4' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6f6c6ba6-9714-4031-a8e5-2ac9ad5f5cf4
A&W,Restaurant,23-Feb-2024,360 James Street Delhi ON N4B 2B4,location.href = '/Portal/Facility/Details/35d09ad8-ce23-4ae4-9708-2dc73f07b200' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/35d09ad8-ce23-4ae4-9708-2dc73f07b200
A&W,Restaurant,18-Apr-2024,140 Queensway E. Simcoe ON N3Y 4Y7,location.href = '/Portal/Facility/Details/da9dbb80-6860-4693-be08-df92c2e265bd' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/da9dbb80-6860-4693-be08-df92c2e265bd
A&W,Restaurant,22-Jan-2024,351 Argyle St S. Caledonia ON N3W 1K7,location.href = '/Portal/Facility/Details/3530f028-6cc8-47c2-afb9-c6411fa64fe1' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3530f028-6cc8-47c2-afb9-c6411fa64fe1
A.E. Jones Bakery,Bakery - Production,12-Mar-2024,26 Argyle St N. Caledonia ON N3W 1B7,location.href = '/Portal/Facility/Details/e44a7a18-0c35-4913-8f28-00a057f3761c' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e44a7a18-0c35-4913-8f28-00a057f3761c
Alderbrook Farm & Apiary,Home-Based Kitchen,15-Aug-2023,863 Norfolk County Rd 19 E Wilsonville ON N0E 1Z0,location.href = '/Portal/Facility/Details/c305292a-b74e-40bc-bb6d-38bab4ca5210' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/c305292a-b74e-40bc-bb6d-38bab4ca5210
AM Cookie Creations,Home-Based Kitchen,04-Mar-2024,16 Parkview Rd Hagersville ON N0A 1H0,location.href = '/Portal/Facility/Details/81c5a2d2-e259-4c44-b174-4857bb9a1a89' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/81c5a2d2-e259-4c44-b174-4857bb9a1a89
Amiga's Bistro,Restaurant,11-Apr-2024,32 Norfolk St S. Simcoe ON N3Y 2V9,location.href = '/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7211dca2-40b0-4506-bb90-152d49998f75
Andale,Restaurant,28-Apr-2023,2-10 Norfolk St. South Simcoe ON N3Y 2V9,location.href = '/Portal/Facility/Details/57102caf-661e-4f0b-89bd-d5dc81a83f5f' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/57102caf-661e-4f0b-89bd-d5dc81a83f5f
Andy's Drive-In Diner,Food Take Out,11-Mar-2024,3710 Highway 59 Langton ON N0E 1G0,location.href = '/Portal/Facility/Details/221cf55d-5f2b-497a-b584-e4f6f4290853' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/221cf55d-5f2b-497a-b584-e4f6f4290853
Andy's On Wheels (Red Truck),Mobile Preparation Premises,11-Mar-2024,3710 Highway 59 Langton ON N0E 1G0,location.href = '/Portal/Facility/Details/3c1fc8f8-9ecf-4dfd-806c-ea0b06e710b3' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3c1fc8f8-9ecf-4dfd-806c-ea0b06e710b3
Anson Place Care Centre,Long Term Care Facility,30-Jan-2024,85 Main Street N. Hagersville ON N0A 1H0,location.href = '/Portal/Facility/Details/35975004-36dd-4525-b3f2-be4e8bf7ca80' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/35975004-36dd-4525-b3f2-be4e8bf7ca80
Apple Hill Lavender,Home-Based Kitchen,10-May-2023,1795 Windham Rd 11 Windham Centre ON N0E 2A0,location.href = '/Portal/Facility/Details/180076bb-a218-4bf7-b0f4-ae385f485e8d' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/180076bb-a218-4bf7-b0f4-ae385f485e8d
Apple Hill Lavender - Store,Convenience / Variety,10-May-2023,1795 Windham Rd 11 Windham Centre ON N0E 2A0,location.href = '/Portal/Facility/Details/067410ce-baea-493a-b033-c465e50a7fe4' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/067410ce-baea-493a-b033-c465e50a7fe4
Apple Original Fresh Produce,Convenience / Variety,19-Mar-2024,760 James St Delhi ON N4B 2C8,location.href = '/Portal/Facility/Details/e7ca52b9-c349-460f-80cb-339a433250a7' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e7ca52b9-c349-460f-80cb-339a433250a7
Army Navy Airforce Unit,Private Club,16-Nov-2023,53 Water St Simcoe ON N3Y 1P8,location.href = '/Portal/Facility/Details/d44cff2c-db53-487d-82ff-7fc3793f1d1a' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d44cff2c-db53-487d-82ff-7fc3793f1d1a
Art Rocks & Healing Yoga Café,Food Take Out,12-Mar-2024,223 Chestnut St Dunnville ON N1A 2H2,location.href = '/Portal/Facility/Details/fbe4358f-3169-4768-be66-7b324c9c9acb' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/fbe4358f-3169-4768-be66-7b324c9c9acb
Ashley Boldt Dips,Food Take Out,21-Sep-2023,699 Regional Road 28 Clear Creek ON N0E 1C0,location.href = '/Portal/Facility/Details/843e6f05-ef9e-490c-bb4c-001571874fa3' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/843e6f05-ef9e-490c-bb4c-001571874fa3
Asian Kitchen,Restaurant,09-Feb-2024,B-28 Main St S Hagersville ON N0A 1H0,location.href = '/Portal/Facility/Details/1c604339-6310-4efa-a7d2-7ab9325f9710' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/1c604339-6310-4efa-a7d2-7ab9325f9710
Athens to Budapest,Home-Based Kitchen,10-Apr-2024,976 Bell Mill Side Rd Tillsonburg ON N4G 4G9,location.href = '/Portal/Facility/Details/e3e07889-0272-42f9-b7e7-abe361854b48' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e3e07889-0272-42f9-b7e7-abe361854b48
Austin's Pick Your Own,Farm Gate,24-Apr-2024,2587 Cockshutt Rd Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/0195b346-6c29-45e3-b4d4-886fafe82d16' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/0195b346-6c29-45e3-b4d4-886fafe82d16
Avondale Dairy Ltd. #38,Convenience / Variety,16-Jan-2024,211 Niagara St Dunnville ON N1A 2A9,location.href = '/Portal/Facility/Details/ced25026-d306-47b9-9cb9-1f684097d6af' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/ced25026-d306-47b9-9cb9-1f684097d6af
Avondale Store #100,Convenience / Variety,16-Jan-2024,211 George St Dunnville ON N1A 2T5,location.href = '/Portal/Facility/Details/3d712485-cb3c-460a-93d4-51c76c76e95c' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3d712485-cb3c-460a-93d4-51c76c76e95c
Avondale Store #36,Convenience / Variety,21-Mar-2024,424 Cedar St Dunnville ON N1A 2J3,location.href = '/Portal/Facility/Details/a2dbbc25-1d10-4297-b729-b6e336c3b6c5' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/a2dbbc25-1d10-4297-b729-b6e336c3b6c5
B & C Farms,Butcher Shop,27-Sep-2023,72 McDowell Rd W Langton ON N0E 1G0,location.href = '/Portal/Facility/Details/57bc36f0-ebc7-4ada-b70f-511ca06ddd10' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/57bc36f0-ebc7-4ada-b70f-511ca06ddd10
B & C Farms (Meat processing facility),Meat Processing Plant,29-May-2023,72 McDowell Rd W Langton ON N0E 1G0,location.href = '/Portal/Facility/Details/f062c454-e87d-461d-8586-a878c1850836' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/f062c454-e87d-461d-8586-a878c1850836
Baejj,Bakery - Production,28-Feb-2024,2-21 King St E. Hagersville ON N0A 1H0,location.href = '/Portal/Facility/Details/b68dab3c-9ff7-48e8-b143-b72e0ba8af5d' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/b68dab3c-9ff7-48e8-b143-b72e0ba8af5d
BarBurrito,Restaurant,05-Feb-2024,11-95 Queensway West Simcoe Ontario N3Y 2M8,location.href = '/Portal/Facility/Details/a0e7aa07-399b-4725-b982-d41e30ae435b' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/a0e7aa07-399b-4725-b982-d41e30ae435b
barBurrito,Restaurant,15-Jan-2024,351 Argyle St. S Caledonia ON,location.href = '/Portal/Facility/Details/a8421b2c-050e-4e53-b633-4fc018b9b2f8' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/a8421b2c-050e-4e53-b633-4fc018b9b2f8
BarBurrito Mexican Grill,Restaurant,23-Jan-2024,2A-217 Broad Street East Dunnville ON N1A 1G1,location.href = '/Portal/Facility/Details/e87c9eb8-83d3-43d5-84a5-64e35fe7b1a7' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e87c9eb8-83d3-43d5-84a5-64e35fe7b1a7
Barn Yard,Restaurant,10-Apr-2024,554 Norfolk St. N Simcoe ON N3Y 3P9,location.href = '/Portal/Facility/Details/70a6ba2d-413c-42c8-bb91-70d18bf1ee29' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/70a6ba2d-413c-42c8-bb91-70d18bf1ee29
Barnwood Wine,Brew Your Own,,15 Main St. East Selkirk ON N0A 1P0,location.href = '/Portal/Facility/Details/41392932-83d9-499f-a529-dbf215e64463' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/41392932-83d9-499f-a529-dbf215e64463
Barrel Pizza & Spaghetti,Restaurant,24-Apr-2024,131 Queensway W Simcoe ON N3Y 2M8,location.href = '/Portal/Facility/Details/e9b533bd-1260-44a0-8df5-945cbd0fbd32' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e9b533bd-1260-44a0-8df5-945cbd0fbd32
Batch Baking and Company,Home-Based Kitchen,31-May-2023,252 Kohler Road Selkirk ON N0A 1P0,location.href = '/Portal/Facility/Details/9acaff9e-22b7-435e-becc-1cd6ec7d37e0' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/9acaff9e-22b7-435e-becc-1cd6ec7d37e0
Bayside,Mobile Preparation Premises,16-Aug-2022,01 Townline Road St Williams ON N0E1M0,location.href = '/Portal/Facility/Details/1f35d7da-9f11-457c-8ed5-4f62f7be9041' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/1f35d7da-9f11-457c-8ed5-4f62f7be9041
Bayside Vacation Resort Variety,Convenience / Variety,25-Jul-2022,50 Erie Boulevard Long Point ON N0E 1M0,location.href = '/Portal/Facility/Details/7f392ee4-2cda-4f9a-98ca-c74e1f06c686' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7f392ee4-2cda-4f9a-98ca-c74e1f06c686
Bayview Restaurant & Variety,Restaurant,,101 Cedar Drive Turkey Point ON N0E 1T0,location.href = '/Portal/Facility/Details/0d6d21f5-5a70-4503-b6b4-589abb8fd8ec' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/0d6d21f5-5a70-4503-b6b4-589abb8fd8ec
BB - Renton,Convenience / Variety,27-Jul-2023,4717 Hwy 3 E Renton ON N3Y 4K4,location.href = '/Portal/Facility/Details/f2748619-ecf9-4934-b710-d401fce92e34' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/f2748619-ecf9-4934-b710-d401fce92e34
BB Family Convenience,Convenience / Variety,23-May-2023,419 West St Simcoe ON N3Y 1V1,location.href = '/Portal/Facility/Details/0e01cca6-c35c-45a3-b935-891116140e17' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/0e01cca6-c35c-45a3-b935-891116140e17
BB Family Convenience Waterford,Convenience / Variety,26-Jul-2023,808 Old Highway 24 Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/8f1c6f28-045d-4229-aa89-ce4b0cf361ce' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/8f1c6f28-045d-4229-aa89-ce4b0cf361ce
Beachside Bites,Food Take Out,23-Apr-2024,13 Harbour St Port Dover ON N0A 1N0,location.href = '/Portal/Facility/Details/be6e0a26-9420-4600-8930-6e5755407a04' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/be6e0a26-9420-4600-8930-6e5755407a04
Before and After - Boston Public School,Before and After School Program,30-Nov-2023,2993 Cockshutt Rd Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/72538176-7ea9-4211-bdb9-d1f3a4e98914' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/72538176-7ea9-4211-bdb9-d1f3a4e98914
Before and After - Jarvis Public School,Before and After School Program,24-Nov-2023,14 Monson St Jarvis ON N0A 1J0,location.href = '/Portal/Facility/Details/e49905e5-3ddf-41ad-a03c-cfc076f9d54f' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e49905e5-3ddf-41ad-a03c-cfc076f9d54f
Before and After - Port Rowan Public School,Before and After School Program,27-Nov-2023,48 College Ave Port Rowan ON N0E 1W0,location.href = '/Portal/Facility/Details/1e236b77-ea3d-4775-b0c0-b3b67cf6b28b' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/1e236b77-ea3d-4775-b0c0-b3b67cf6b28b
Before and After - St. Bernard of Clairvaux,Before and After School Program,23-Apr-2024,250 Washington St Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/1c256e7a-802c-4a06-9dba-ceede49e0858' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/1c256e7a-802c-4a06-9dba-ceede49e0858
Before and After - Today's Family Waterford Public School,Before and After School Program,30-Nov-2023,100 East Church St. Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/dd1fec45-9003-49ad-9f0c-d04ce77b9676' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/dd1fec45-9003-49ad-9f0c-d04ce77b9676
Before and After - Walpole North Elementary,Before and After School Program,01-Dec-2023,1895 Haldimand Road 55 Hagersville ON N0A 1H0,location.href = '/Portal/Facility/Details/dbd2ed0f-16a0-46e2-aff7-2629c3b236e2' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/dbd2ed0f-16a0-46e2-aff7-2629c3b236e2
Before and After - Walsh Public School,Before and After School Program,28-Nov-2023,933 St. John's Rd. W. Simcoe ON N3Y 4K1,location.href = '/Portal/Facility/Details/c1189ad5-a82f-484f-8b10-c176c61188e6' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/c1189ad5-a82f-484f-8b10-c176c61188e6
Before and After School Program- Ecole Sainte Marie,Before and After School Program,22-Jan-2024,165 Queen St N Simcoe ON N3Y 2B4,location.href = '/Portal/Facility/Details/b0b7ee6d-b308-42a2-89c8-88e3fd15dfda' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/b0b7ee6d-b308-42a2-89c8-88e3fd15dfda
Before and After School Program-Thompson Creek PS,Child Care Onsite Prep.,,800 Cross Street Dunnville ON N1A 1N7,location.href = '/Portal/Facility/Details/e6d76a42-e438-4c63-a152-8d14c8e11704' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e6d76a42-e438-4c63-a152-8d14c8e11704
Belching Barista,Food Take Out,06-Mar-2024,13 Alice St Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/3afee0da-29e5-46f4-a689-438d3b29104b' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/3afee0da-29e5-46f4-a689-438d3b29104b
Best Western - Kitchen,Restaurant,21-Feb-2024,203 Queensway W. Simcoe ON N3Y 2M9,location.href = '/Portal/Facility/Details/a5b249cf-2314-452c-aefa-5efc79388cca' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/a5b249cf-2314-452c-aefa-5efc79388cca
Bethany United Church,Church Banquet Facility,13-Feb-2024,180 Carter Road Dunnville ON N1A 2W2,location.href = '/Portal/Facility/Details/fe75eef0-0f9d-41d8-afb1-23ae42ab5deb' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/fe75eef0-0f9d-41d8-afb1-23ae42ab5deb
Bev's Chip Wagon,Mobile Preparation Premises,18-Sep-2023,45 Sydenham St Simcoe ON,location.href = '/Portal/Facility/Details/0be9b333-e136-480b-bb74-50df31cfae42' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/0be9b333-e136-480b-bb74-50df31cfae42
Big Bee Convenience,Convenience / Variety,27-Nov-2023,263 Argyle St S. Caledonia ON N3W 1K7,location.href = '/Portal/Facility/Details/fe004439-53d7-40a3-bd4f-4c2a6e1a5fc2' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/fe004439-53d7-40a3-bd4f-4c2a6e1a5fc2
Big Dog Spuds,Mobile Preparation Premises,,760 James Street Delhi ON N4B 2C8,location.href = '/Portal/Facility/Details/7b9336a0-3681-43b2-a2dc-e4555b870212' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/7b9336a0-3681-43b2-a2dc-e4555b870212
Big Jerk Smokehouse,Food Caterer,22-Sep-2023,53 Water St Simcoe ON N3Y 1P8,location.href = '/Portal/Facility/Details/960a2d1e-1784-4997-864f-6322e5937f33' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/960a2d1e-1784-4997-864f-6322e5937f33
Birchwood Acres-Convenience Store,Snack Bar/Refreshment Stand,21-Jun-2023,301 Rattlesnake Rd Lowbanks ON N0A 1K0,location.href = '/Portal/Facility/Details/b3725e31-43fd-42c5-bfa6-6fba8c99c65a' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/b3725e31-43fd-42c5-bfa6-6fba8c99c65a
BJ's Convenience Store,Convenience / Variety,27-Nov-2023,411 West St Simcoe ON N3Y 1V1,location.href = '/Portal/Facility/Details/0a5dc674-e097-4a96-8c81-76b4ceecdc4f' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/0a5dc674-e097-4a96-8c81-76b4ceecdc4f
BJ's Hillcrest Grocery,Supermarket,03-Jan-2024,70 Hillcrest Rd Simcoe ON N3Y 4K6,location.href = '/Portal/Facility/Details/ad1195bd-f317-45da-83f7-354a76c8474b' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/ad1195bd-f317-45da-83f7-354a76c8474b
Bloomsburg Before & After School Program,Before and After School Program,14-Nov-2023,25 Concession 12 Townsend Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/d2912d2b-bb7d-4ab1-a63e-3e948ab3bf5b' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d2912d2b-bb7d-4ab1-a63e-3e948ab3bf5b
Bloomsburg Public School,School Nutrition Program,26-May-2023,25 Concession 12 Townsend Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/e5a039fe-7d76-48a5-b54b-10390eabfe43' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/e5a039fe-7d76-48a5-b54b-10390eabfe43
Bloomsdale Special Care Simcoe,Group / Lodging Home (>9),08-Feb-2024,323 Norfolk Street S Simcoe ON N3Y 2W6,location.href = '/Portal/Facility/Details/8f36cfbb-9a87-433a-aaf0-6d65e4a86550' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/8f36cfbb-9a87-433a-aaf0-6d65e4a86550
Blue Elephant,Restaurant,23-Apr-2024,96 Norfolk St S. Simcoe ON N3Y 2W2,location.href = '/Portal/Facility/Details/836cd02a-a6dd-451a-80d1-bbe87653c6fc' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/836cd02a-a6dd-451a-80d1-bbe87653c6fc
Blue Mermaid Artisan Shop,Convenience / Variety,29-Nov-2023,171B Main St. of Delhi ON ON N4B2M1,location.href = '/Portal/Facility/Details/55bc6102-b68b-41c2-a6f3-428a0d30283a' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/55bc6102-b68b-41c2-a6f3-428a0d30283a
Blueberry Hill Estates,Restaurant,25-Apr-2023,1195 Front Road St. Williams ON N0E 1P0,location.href = '/Portal/Facility/Details/cf6e1846-8022-49c5-b00a-d6f3ef9bc72a' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/cf6e1846-8022-49c5-b00a-d6f3ef9bc72a
Blueberry Knoll Berry Farm,Bake Shop Vending Only,25-Oct-2023,1091 Hutchinson Road Lowbanks ON N0A 1K0,location.href = '/Portal/Facility/Details/52d28e74-b7d9-4a2f-8fb7-761bfb0c5af8' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/52d28e74-b7d9-4a2f-8fb7-761bfb0c5af8
Bob's Place Restaurant,Restaurant,07-Dec-2023,123 Lock St E. Dunnville ON N1A 1J6,location.href = '/Portal/Facility/Details/efebc70e-89f4-44b6-b9d8-715048e882bd' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/efebc70e-89f4-44b6-b9d8-715048e882bd
Bond's at Peacock Point,Food Take Out,24-May-2023,20 Lakeside Rd Selkirk ON N0A 1P0,location.href = '/Portal/Facility/Details/04cf3a70-10c0-487f-b123-4f173e619ec9' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/04cf3a70-10c0-487f-b123-4f173e619ec9
Bonnieheath Estate Lavender and Winery,Cocktail Bar/Beverage Room,12-Jun-2023,410 Concession 12 Townsend Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/da00cf73-b66e-436f-a52b-4516ba829cd7' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/da00cf73-b66e-436f-a52b-4516ba829cd7
Boss Supplements Norfolk,Convenience / Variety,27-Jul-2023,102 Church St Delhi ON N4B 1V8,location.href = '/Portal/Facility/Details/850fe491-7dc5-4583-89b3-031b15370d5f' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/850fe491-7dc5-4583-89b3-031b15370d5f
Boston Baptist Church,Church Banquet Facility,07-Dec-2023,2985 Cockshutt Rd Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/90edd1be-c504-40d5-8883-99ca8b1c5c99' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/90edd1be-c504-40d5-8883-99ca8b1c5c99
Boston General Store,Convenience / Variety,23-Jan-2024,2976 Cockshutt Rd Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/929e3911-b839-438f-abf1-bcb9f3bddfc2' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/929e3911-b839-438f-abf1-bcb9f3bddfc2
Boston Pizza,Restaurant,18-Apr-2024,25 Queensway W Simcoe ON N3Y 2M7,location.href = '/Portal/Facility/Details/d40356ba-e70b-4dbf-8a1e-2f3919168875' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/d40356ba-e70b-4dbf-8a1e-2f3919168875
Boxed Bites,Home-Based Kitchen,11-May-2023,68 Fife St W Caledonia ON N3W 1J2,location.href = '/Portal/Facility/Details/b14c8325-9908-4ff9-9fca-c5c0fb47e16f' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/b14c8325-9908-4ff9-9fca-c5c0fb47e16f
Brads Barbecue,Mobile Preparation Premises,,"6764 Highway 3, Canfield ON N0A 1C0",location.href = '/Portal/Facility/Details/02360a0a-8579-4c6f-9501-5753c4668ae3' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/02360a0a-8579-4c6f-9501-5753c4668ae3
Brick Wall Bakery,Bakery - Production,24-Jan-2024,157 Main St. of Delhi Delhi ON N4B 2M1,location.href = '/Portal/Facility/Details/9b9f9129-6d9e-46f2-9215-1f722c847b97' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/9b9f9129-6d9e-46f2-9215-1f722c847b97
British Baked Goods,Special Event Vendor,,46 Luscombe Dr Simcoe ON,location.href = '/Portal/Facility/Details/c4bce605-72ed-4b27-a698-cf369a7527a4' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/c4bce605-72ed-4b27-a698-cf369a7527a4
