Facility Name,Site Address,Community,Facility Type,url_entity_partial,category,Enforcement,Action Taken,Status,Date of Issuance,Details,Status Date,url_entity_full
Eat Panini Pizza and More,2207 Industrial Park Road  Innisfil ON L9S 3V9,Innisfil,Food Take Out,location.href = '/Facility/Details/2265519e-5f3b-4c00-80f9-9bf59de2e7ee' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2265519e-5f3b-4c00-80f9-9bf59de2e7ee
Eclectic Cafe and Take Out,B-37-39 Mississaga St W  Orillia ON L3V 3A5,Orillia,Restaurant,location.href = '/Facility/Details/a6c2e546-07c1-4d64-b91c-25706819177d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/a6c2e546-07c1-4d64-b91c-25706819177d
Ecole elementaire catholique Frere Andre,237 Cundles Rd E  Barrie ON L4M 6L1,Barrie,Student Nutrition Program,location.href = '/Facility/Details/772f4bb3-403c-4ceb-b7ff-39b13188585c' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/772f4bb3-403c-4ceb-b7ff-39b13188585c
Ecole elementaire catholique Sainte-Croix,351 Lafontaine Road  Tiny ON L9M 0H1,Tiny,Student Nutrition Program,location.href = '/Facility/Details/68e69b0d-033d-42fa-9220-3445d758aa83' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/68e69b0d-033d-42fa-9220-3445d758aa83
Ecole Elementaire Catholique Samuel-de-Champlain,275 Park St  Orillia ON L3V 5W1,Orillia,Student Nutrition Program,location.href = '/Facility/Details/ee1c3e7b-bb72-4ee9-a5bb-814094df6390' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/ee1c3e7b-bb72-4ee9-a5bb-814094df6390
Ecole elementaire catholique St-Louis,54 rue Dufferin  Penetanguishene ON L9M 1H4,Penetanguishene,Student Nutrition Program,location.href = '/Facility/Details/630ef74b-4a31-4b3b-bc65-5b14ee296ba7' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/630ef74b-4a31-4b3b-bc65-5b14ee296ba7
Ecole elementaire La Source,70 Madelaine Dr  Barrie ON L4N 9T2,Barrie,Student Nutrition Program,location.href = '/Facility/Details/912cb3bb-ea8b-4424-93ea-df7a34ad438f' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/912cb3bb-ea8b-4424-93ea-df7a34ad438f
Ecole Secondaire Catholique Nouvelle-Alliance,249 Anne St N  Barrie ON L4N 0B5,Barrie,Student Nutrition Program,location.href = '/Facility/Details/77f71e92-66d9-4643-9ce9-370241bcf603' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/77f71e92-66d9-4643-9ce9-370241bcf603
Ecole Secondaire Romeo Dallaire,736 Essa Rd  Barrie ON L4N 9E9,Barrie,Cafeteria,location.href = '/Facility/Details/190d2005-6c89-4647-a7a1-60883a861bbb' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/190d2005-6c89-4647-a7a1-60883a861bbb
Econo Lodge,117 Main St W  Huntsville ON P1H 1W8,Huntsville,Restaurant,location.href = '/Facility/Details/47722360-802f-42ab-a12a-5aecf451421b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/47722360-802f-42ab-a12a-5aecf451421b
Econo Lodge,265 Memorial Ave  Orillia ON L3V 5X8,Orillia,Serving Kitchen,location.href = '/Facility/Details/9dc37639-f47d-4570-a999-f11c12c067b9' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/9dc37639-f47d-4570-a999-f11c12c067b9
Eddie Bush Arena - Lower Snack Bar,97 Hurontario St  Collingwood L9Y 4H5,Collingwood,Food Take Out,location.href = '/Facility/Details/8e44f5d6-922b-43c7-966d-1e4efa198fca' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/8e44f5d6-922b-43c7-966d-1e4efa198fca
Eddie Bush Arena - Upper Snack Bar,97 Hurontario St  Collingwood L9Y 4H5,Collingwood,Food Take Out,location.href = '/Facility/Details/af0e0781-3fe8-4b0a-adf8-06ddc3303ef7' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/af0e0781-3fe8-4b0a-adf8-06ddc3303ef7
Eddies 241 Pizza,208 Victoria St E  Alliston ON L9R 1B6,Alliston,Restaurant,location.href = '/Facility/Details/25dd9ff2-117f-4091-8b5e-6da7d8d428f1' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/25dd9ff2-117f-4091-8b5e-6da7d8d428f1
Eden Grill,13 Young St  Alliston ON L9R 1B5,Alliston,Food Take Out,location.href = '/Facility/Details/2776cb73-e19f-495c-a157-1b6bd37da80c' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2776cb73-e19f-495c-a157-1b6bd37da80c
Edger Community Hall,1167 Old Barrie Rd  Oro-Medonte ON L0L 2L0,Oro-Medonte,Community Kitchen,location.href = '/Facility/Details/3e9d53ee-127d-401d-9411-16b0a9f77a84' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/3e9d53ee-127d-401d-9411-16b0a9f77a84
Edible Arrangements,10-7 Anne Street S  Barrie ON L4N 2C4,Barrie,Food Take Out,location.href = '/Facility/Details/479f95e6-588f-4bec-9542-034ea6a3153c' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/479f95e6-588f-4bec-9542-034ea6a3153c
EDUKIDS Child Care Centre,40 John St W  Bradford ON L3Z 2B6,Bradford,Child Care - Preparation Onsite,location.href = '/Facility/Details/5d090ceb-b1c7-4bcb-996b-6535c35cad78' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/5d090ceb-b1c7-4bcb-996b-6535c35cad78
Egan's Campground,4159 County Rd 50  Adjala-Tosorontio ON L0G 1L0,Adjala-Tosorontio,Convenience / Variety,location.href = '/Facility/Details/6599e60b-b19a-462e-ae01-a4e23074a9e7' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/6599e60b-b19a-462e-ae01-a4e23074a9e7
Eggcellent,17 Holland St W  Bradford ON L3Z 2B8,Bradford,Restaurant,location.href = '/Facility/Details/83cfa6d6-4788-4eaa-9d43-8e32075b490a' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/83cfa6d6-4788-4eaa-9d43-8e32075b490a
Eggsmart,1060 Innisfil Beach Rd  Innisfil ON L9S 2M5,Alcona,Restaurant,location.href = '/Facility/Details/84c7ea6e-60d0-4871-a84e-d9678029b11e' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/84c7ea6e-60d0-4871-a84e-d9678029b11e
Eggsmart,115 First St  Collingwood ON L9Y 1A5,Collingwood,Restaurant,location.href = '/Facility/Details/0d0aa33d-7207-48cc-b63c-36601d722937' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/0d0aa33d-7207-48cc-b63c-36601d722937
Eh Burrito,371 Greer Rd  Port Sydney ON P0B 1L0,Utterson,Mobile Preparation Premises,location.href = '/Facility/Details/97e73d08-8484-4fa9-ad35-1688d7dd5927' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/97e73d08-8484-4fa9-ad35-1688d7dd5927
Eh to Zed Preschool,680 Balm Beach Road E  Midland ON L4R 4K4,Midland,Child Care - Catered,location.href = '/Facility/Details/e8144e6c-4baf-4562-9f74-bfbfcd602819' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/e8144e6c-4baf-4562-9f74-bfbfcd602819
Eh to Zed Preschool Canada Early Learning Academy,01-1472 Innisfil Beach Rd  Alcona ON L9S 4J1,Alcona,Child Care - Catered,location.href = '/Facility/Details/fc4b6ee6-678c-4476-9ee5-fc36c34374ca' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/fc4b6ee6-678c-4476-9ee5-fc36c34374ca
El Gringo's Cantina,1006 Clear Lake Rd  Torrance ON P0C 1M0,Torrance,Mobile Preparation Premises,location.href = '/Facility/Details/c1c63a37-4ad5-4668-8f5e-7a0b459beebd' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/c1c63a37-4ad5-4668-8f5e-7a0b459beebd
El Pueblito,155 Manitoba St  Bracebridge ON P1L 2B7,Bracebridge,Restaurant,location.href = '/Facility/Details/2b37ab30-e87a-452b-9a17-f85b38e70576' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2b37ab30-e87a-452b-9a17-f85b38e70576
Elan Pizza Inc.,2 Mill St.  Hillsdale ON L0L 1V0,Springwater,Restaurant,location.href = '/Facility/Details/a55c9a0a-dd6d-4190-b790-5864b33eab94' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/a55c9a0a-dd6d-4190-b790-5864b33eab94
"Elden of Bradford, The",3131 8th Line  Bradford ON L3Z 4H2,Bradford,Retirement Home,location.href = '/Facility/Details/bc072aa2-29b9-4fbc-8d9a-24522846b0cb' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/bc072aa2-29b9-4fbc-8d9a-24522846b0cb
"Elden of Bradford, The- 2nd Floor Servery",3131 8th Line  Bradford ON L3Z 4H2,Bradford,Institutional Servery,location.href = '/Facility/Details/e42d44c4-9cf8-48ee-a11b-da0440246990' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/e42d44c4-9cf8-48ee-a11b-da0440246990
"Elden of Bradford, The- 3rd Floor Servery",3131 8th Line Bradford  ON L3Z 4H2,Bradford,Institutional Servery,location.href = '/Facility/Details/def527f3-3a37-4ff8-b10f-b09a866f2c20' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/def527f3-3a37-4ff8-b10f-b09a866f2c20
"Elden of Bradford, The- 4th Floor Servery",3131 8th Line Bradford  ON L3Z 4H2,Bradford,Institutional Servery,location.href = '/Facility/Details/d8cc0d45-177d-498f-b49f-f06e2c0fa834' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/d8cc0d45-177d-498f-b49f-f06e2c0fa834
"Elden of Bradford, The- Bistro",3131 8th Line  Bradford ON L3Z 4H2,Bradford,Food Take Out,location.href = '/Facility/Details/e31b4e58-fd67-448c-8624-6bb6acf109b9' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/e31b4e58-fd67-448c-8624-6bb6acf109b9
Elder Tree Montessori,20-477 Grove St E  Barrie ON L4M 6M3,Barrie,Child Care - Catered,location.href = '/Facility/Details/daa70d2b-659d-442f-9796-031a7e36eace' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/daa70d2b-659d-442f-9796-031a7e36eace
"Elegant Gourmet, The",235 King St  Midland ON L4R 3M1,Midland,Food Processing Plant,location.href = '/Facility/Details/7a0e4372-d633-4bdf-95e3-2b62c7dd0cf0' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/7a0e4372-d633-4bdf-95e3-2b62c7dd0cf0
Elm Desi,46 Queen St W  Elmvale ON L0L 1P0,Elmvale,Restaurant,location.href = '/Facility/Details/7c89ec8f-a955-4b30-bcf7-481663299c55' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/7c89ec8f-a955-4b30-bcf7-481663299c55
Elmvale & District Food Bank,62 Yonge St N  Elmvale ON L0L 1P0,Elmvale,Food Bank,location.href = '/Facility/Details/037f8aa3-fa24-4dc4-bd47-c934314a0aa0' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/037f8aa3-fa24-4dc4-bd47-c934314a0aa0
Elmvale & District Lions Club,1979 Flos Rd 7 W  Elmvale ON L0L 1P0,Elmvale,Banquet Hall,location.href = '/Facility/Details/4e0c8504-172d-47cc-a2d3-9c459ceed0de' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/4e0c8504-172d-47cc-a2d3-9c459ceed0de
Elmvale Bakery,32 Queen St W  Elmvale ON L0L 1P0,Elmvale,Bakery,location.href = '/Facility/Details/6c12b396-2b68-47e6-adc6-36410d751b0d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/6c12b396-2b68-47e6-adc6-36410d751b0d
Elmvale Community Arena,14 George St  Elmvale ON L0L 1P0,Elmvale,Food Take Out,location.href = '/Facility/Details/3c90f13a-cee5-4386-a0f7-0ca8b3e46feb' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/3c90f13a-cee5-4386-a0f7-0ca8b3e46feb
Elmvale Community Arena,14 George St  Elmvale ON L0L 1P0,Elmvale,Banquet Hall,location.href = '/Facility/Details/6f837b66-aef9-487d-8b2d-fe8559d3fb25' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/6f837b66-aef9-487d-8b2d-fe8559d3fb25
Elmvale Community Hall,33 Queen St W  Elmvale ON L0L 1P0,Elmvale,Banquet Hall,location.href = '/Facility/Details/e0017f9d-ddcd-4e72-a123-f9ef5e78c63f' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/e0017f9d-ddcd-4e72-a123-f9ef5e78c63f
Elmvale Curling Club,A-14 George St  Elmvale ON L0L 1P0,Elmvale,Banquet Hall,location.href = '/Facility/Details/d29d78ae-b852-4fb9-8917-753a71a49ee4' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/d29d78ae-b852-4fb9-8917-753a71a49ee4
Elmvale District High School,25 Lawson Ave  Elmvale ON L0L 1P0,Elmvale,Cafeteria,location.href = '/Facility/Details/b4462abb-7dac-43f1-aae7-bcb3bb318402' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b4462abb-7dac-43f1-aae7-bcb3bb318402
Elmvale Gas and Variety / Esso / Pizza Pizza,2236 County Road 92  Elmvale ON L0L 1P0,Elmvale,Convenience / Variety,location.href = '/Facility/Details/0b1f3654-7d6f-4bde-8885-6800579e466a' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/0b1f3654-7d6f-4bde-8885-6800579e466a
Elmvale Sales Barn and Flea Market,1568 Highway 92  Elmvale ON L0L 1P0,Elmvale,Restaurant,location.href = '/Facility/Details/00ad1e30-2e3c-45d0-98e0-6457f93ab2bf' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/00ad1e30-2e3c-45d0-98e0-6457f93ab2bf
Emma King Child Care,383 Cundles Rd W  Barrie ON L4N 7C7,Barrie,Child Care - School Age Program,location.href = '/Facility/Details/b2e86114-4af1-4b9b-b8fe-a12581cf8b6e' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b2e86114-4af1-4b9b-b8fe-a12581cf8b6e
Emma King Elementary School,383 Cundles Road W  Barrie ON L4N 7C7,Barrie,Student Nutrition Program,location.href = '/Facility/Details/e1588b3e-e19b-474c-840e-a575954b719b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/e1588b3e-e19b-474c-840e-a575954b719b
Emmanuel Presbyterian Church,"3521 Simcoe County Rd  124, Nottawa ON L0M 1P0",Nottawa,Banquet Hall,location.href = '/Facility/Details/cb062348-5b9e-495a-849a-6c97bde0da79' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/cb062348-5b9e-495a-849a-6c97bde0da79
Em's Cafe,16 Coldwater Rd  Coldwater ON L0K 1E0,Coldwater,Restaurant,location.href = '/Facility/Details/64d53009-e6cc-4ac3-bce6-e9662bfc0676' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/64d53009-e6cc-4ac3-bce6-e9662bfc0676
Enaahtig Healing Lodge and Learning Centre,4184 Vasey Rd  Victoria Harbour ON L0K 1R0,Victoria Harbour,Serving Kitchen,location.href = '/Facility/Details/536578bd-f89e-43c9-ac78-5f6486316384' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/536578bd-f89e-43c9-ac78-5f6486316384
Enterprise Variety & Gift,110 Little Ave  Barrie ON L4N 4K8,Barrie,Convenience / Variety,location.href = '/Facility/Details/4f88a2dd-5fbb-4e7a-998d-972aba76e71d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/4f88a2dd-5fbb-4e7a-998d-972aba76e71d
Era 67 Restaurant & Lounge,4-64 Mississaga St W  Orillia ON L3V 3A8,Orillia,Restaurant,location.href = '/Facility/Details/cbdbdbf4-5163-4edc-a22b-deebfc4e6f2f' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/cbdbdbf4-5163-4edc-a22b-deebfc4e6f2f
Erika's Wild Flour Bake Shoppe,2832 Highway 60  Dwight ON P0A 1H0,Dwight,Restaurant,location.href = '/Facility/Details/b5e1664d-e528-4262-813e-ccb4f98957b5' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b5e1664d-e528-4262-813e-ccb4f98957b5
Ernest Cumberland Elementary School,160 Eighth Ave  Alliston ON L9R 1A5,Alliston,Student Nutrition Program,location.href = '/Facility/Details/c0b8ee69-4b0c-430d-94f2-44b7eaa445e6' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/c0b8ee69-4b0c-430d-94f2-44b7eaa445e6
Espresso Drop Coffee Co.,2 Hamilton St  Cookstown ON L0L 1L0,Cookstown,Mobile Preparation Premises,location.href = '/Facility/Details/7e773c5f-5e4b-4a7f-8aa3-4c4e0005d50d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/7e773c5f-5e4b-4a7f-8aa3-4c4e0005d50d
Espresso Post,139 Hurontario St  Collingwood ON L9Y 2L9,Collingwood,Restaurant,location.href = '/Facility/Details/328b535d-eaae-48df-9290-447b18dcff73' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/328b535d-eaae-48df-9290-447b18dcff73
Espresso Post Petit,2-65 Simcoe St  Collingwood ON L9Y 1H7,Collingwood,Restaurant,location.href = '/Facility/Details/1e3244b3-b8e9-4d5f-9f33-3d8a9eae9a10' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/1e3244b3-b8e9-4d5f-9f33-3d8a9eae9a10
Essa Convenience & Gas Bar,1-165 Mill St  Angus ON L0M 1B2,Angus,Convenience / Variety,location.href = '/Facility/Details/84149f58-8426-4f32-9877-f2e8a991a737' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/84149f58-8426-4f32-9877-f2e8a991a737
Essa Township Recreation Centre,8527 County Road 10  Angus ON L0M 1B2,Angus,Food Take Out,location.href = '/Facility/Details/526f5658-4161-4bc8-ae2f-9d48a5caab96' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/526f5658-4161-4bc8-ae2f-9d48a5caab96
Essa Township Recreation Centre,8527 County Rd 10  Angus ON L0M 1B2,Angus,Banquet Hall,location.href = '/Facility/Details/51c77ca4-1926-49a8-a97b-c79912cbe22d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/51c77ca4-1926-49a8-a97b-c79912cbe22d
Essa Valley Feed Service,4919 County Road 90  Barrie ON L4M 4S4,Barrie,Food Shop,location.href = '/Facility/Details/7a65bbc8-15ff-4b84-a658-5870c6ff49d8' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/7a65bbc8-15ff-4b84-a658-5870c6ff49d8
Essence Health and Juice Bar,31-319 Sunseeker Ave  Innisfil ON L9Z 2V9,Innisfil,Food Take Out,location.href = '/Facility/Details/fbb93fd9-04fd-4dd3-84db-5abbc79e2d48' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/fbb93fd9-04fd-4dd3-84db-5abbc79e2d48
Essence of Spice,260 Muskoka Rd S  Gravenhurst ON P1P 1J2,Gravenhurst,Restaurant,location.href = '/Facility/Details/17b49ef4-44f2-496b-b4c1-5b6012232bf5' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/17b49ef4-44f2-496b-b4c1-5b6012232bf5
Esso,127 Queen Street S  Tottenham ON L0G 1W0,Tottenham,Convenience / Variety,location.href = '/Facility/Details/c85b1b4f-d8da-4307-9009-631a85647c42' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/c85b1b4f-d8da-4307-9009-631a85647c42
Esso,2802 County Rd 42  Stayner ON L0M 1S0,Creemore,Convenience / Variety,location.href = '/Facility/Details/6794841c-842a-42a5-b17a-509fa6d9fd56' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/6794841c-842a-42a5-b17a-509fa6d9fd56
Esso,440 Ecclestone Dr  Bracebridge ON P1L 1Z6,Bracebridge,Convenience / Variety,location.href = '/Facility/Details/fd765ed3-b02d-4d50-a123-71bd39bf329a' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/fd765ed3-b02d-4d50-a123-71bd39bf329a
Esso,463 West St N  Orillia ON L3V 5G1,Orillia,Convenience / Variety,location.href = '/Facility/Details/be08062d-aab9-44a6-9fb8-088748bd6540' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/be08062d-aab9-44a6-9fb8-088748bd6540
Esso,2692 Highway 12  Brechin ON L0K 1B0,Brechin,Convenience / Variety,location.href = '/Facility/Details/43bf5130-2923-4f40-8318-1e2a0def3c86' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/43bf5130-2923-4f40-8318-1e2a0def3c86
Esso,9279 Highway 11 N  Severn ON L3V 0Y8,Severn,Convenience / Variety,location.href = '/Facility/Details/4bb7ffeb-11b1-41e1-adcd-c7b8338968c8' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/4bb7ffeb-11b1-41e1-adcd-c7b8338968c8
Esso On The Run,2976 Highway 11 S  Oro-Medonte ON L0L 2E0,Oro-Medonte,Convenience / Variety,location.href = '/Facility/Details/7b41c24a-deab-4df6-87ef-cd8d160a6168' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/7b41c24a-deab-4df6-87ef-cd8d160a6168
Esso On The Run,9710 Highway 9  Adjala-Tosorontio ON L0N 1P0,Adjala-Tosorontio,Convenience / Variety,location.href = '/Facility/Details/6a410c90-f631-48fd-9abd-eae19c6b54c8' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/6a410c90-f631-48fd-9abd-eae19c6b54c8
Esso On The Run,300 First St  Collingwood ON L9Y 1B1,Collingwood,Convenience / Variety,location.href = '/Facility/Details/08f38e8a-3ae4-46cb-b258-e55eff8b4c48' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/08f38e8a-3ae4-46cb-b258-e55eff8b4c48
Esso On The Run,7060 County Rd 27  Thornton ON L0L 2N0,Thornton,Convenience / Variety,location.href = '/Facility/Details/3df1f1e6-31c1-432a-88ed-55109f2912e1' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/3df1f1e6-31c1-432a-88ed-55109f2912e1
Esso Waubaushene,21 Quarry Road  Waubaushene ON L0K 2C0,Waubaushene,Convenience / Variety,location.href = '/Facility/Details/d81ef1a6-115f-41c3-ab2c-619997781c5b' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/d81ef1a6-115f-41c3-ab2c-619997781c5b
Esso/Clearview Gas & Convenience,794089 County Road 124  Singhampton ON N0C 1M0,Singhampton,Convenience / Variety,location.href = '/Facility/Details/2a78b931-f8d6-401d-a3c4-65c0acd42b3d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2a78b931-f8d6-401d-a3c4-65c0acd42b3d
Esther Gould's Finest,6420 3rd Line  Tottenham ON L0G 1W0,Tottenham,Home-Based,location.href = '/Facility/Details/3fc60aa6-cec3-49db-a271-3d57ac7eb563' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/3fc60aa6-cec3-49db-a271-3d57ac7eb563
Euro-Lex Cafe & Deli,2-1441 Mosley St  Wasaga Beach ON L9Z 2B9,Wasaga Beach,Deli,location.href = '/Facility/Details/88713752-8606-46e9-bef1-402fcaefc0c8' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/88713752-8606-46e9-bef1-402fcaefc0c8
European Fine Foods & Deli,342 Bayfield St  Barrie ON L4M 3C4,Barrie,Deli,location.href = '/Facility/Details/02d6e659-a8eb-49ca-8c0c-bb5fd900ddeb' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/02d6e659-a8eb-49ca-8c0c-bb5fd900ddeb
European Meat - Elmvale Sales Barn,1568 Highway 92  Elmvale ON L0L 1P0,Elmvale,Mobile Preparation Premises,location.href = '/Facility/Details/490ecb34-f77d-49e7-a84f-ed20a9c7672a' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/490ecb34-f77d-49e7-a84f-ed20a9c7672a
Eva's Deli,1-680 Huronia Rd  Barrie ON L4N 6C6,Barrie,Food Take Out,location.href = '/Facility/Details/abbf0b03-ef51-4e51-a745-c02e7891514c' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/abbf0b03-ef51-4e51-a745-c02e7891514c
Evening Bell,1469 Concession Rd 7  Adjala-Tosorontio ON L0N 1W0,Adjala-Tosorontio,Banquet Hall,location.href = '/Facility/Details/dc009347-7d85-4990-adba-e13eb51c9afd' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/dc009347-7d85-4990-adba-e13eb51c9afd
Event Horizon Hobbies,9-845 King St  Midland ON L4R 0B7,Midland,Snack Bar / Refreshment Stand,location.href = '/Facility/Details/97995321-fab4-445e-bf1e-898b5380a291' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/97995321-fab4-445e-bf1e-898b5380a291
Evergreen Golf Centre,3372 Agnew Rd  RR2 Washago ON L0K 2B0,Washago,Convenience / Variety,location.href = '/Facility/Details/a672fb5c-a16a-4e96-a35a-915bc9d3e485' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/a672fb5c-a16a-4e96-a35a-915bc9d3e485
Everyday Convenience Store,4-750 Big Bay Point  Barrie ON L4M 4S6,Barrie,Convenience / Variety,location.href = '/Facility/Details/49caba70-fb5d-438e-ad19-98a2ba2803de' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/49caba70-fb5d-438e-ad19-98a2ba2803de
Everything Maple & More,1957 Gervais Rd  Tay ON L0K 2C0,Tay,Food Processing Plant,location.href = '/Facility/Details/36425cd7-7a0c-4b16-8c53-4fe3be59a542' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/36425cd7-7a0c-4b16-8c53-4fe3be59a542
